DrugBank ID,Indication Type,Indication,Combined Product Details
DB00704,Management of,Cholestatic pruritus,
DB00704,Used as adjunct in combination to treat,Obesity,Combination Product in combination with:Bupropion (DB01156)
DB00704,Used as adjunct in combination to manage,Obesity,Combination Product in combination with:Bupropion (DB01156)
DB00704,Used as adjunct in combination to treat,Obesity,Combination Product in combination with:Bupropion (DB01156)
DB00705,Used in combination to treat,Hiv-1 infection,
DB00706,Symptomatic treatment of,Benign prostatic hyperplasia,
DB00706,Used in combination to treat,Benign prostatic hypertrophy,Combination Product in combination with:Dutasteride (DB01126)
DB00706,Symptomatic treatment of,Bladder outlet obstruction,
DB00706,Treatment of,Ureteral calculi,
DB00707,Treatment of,Barrett's esophagus,
DB00707,Symptomatic treatment of,Esophageal cancer,
DB00707,Symptomatic treatment of,Completely obstructive non-small cell lung cancer,
DB00707,Treatment of,Microinvasive endobrachial non-small cell lung cancer,
DB00707,Symptomatic treatment of,Partially obstructive non-small cell lung cancer,
DB00708,Treatment of,Acute pain,
DB00708,Treatment of,Acute severe pain,
DB00709,Treatment of,Chronic hepatitis b,
DB00709,Treatment of,Hiv infection,
DB00709,Used in combination to treat,Human immunodeficiency virus type 1 (hiv-1) infection,"Combination Product in combination with:Dolutegravir (DB08930),Abacavir (DB01048)"
DB00709,Used in combination to treat,Human immunodeficiency virus type 1 (hiv-1) infection,Combination Product in combination with:Dolutegravir (DB08930)
DB00709,Used in combination to treat,Human immunodeficiency virus type 1 (hiv-1) infection,Combination Product in combination with:Dolutegravir (DB08930)
DB00710,Treatment of,Bone metastases,
DB00710,Treatment of,Hypercalcemia of malignancy,
DB00710,Management of,Osteoporosis,
DB00710,Prevention of,Osteoporosis,
DB00711,Treatment of,Filarial infection,
DB00711,Treatment of,Onchocerciasis,
DB00712,Symptomatic treatment of,Ankylosing spondylitis,
DB00712,Used in combination for symptomatic treatment of,"Back pain, acute",Combination Product in combination with:Thiocolchicoside (DB11582)
DB00712,Used in combination for symptomatic treatment of,"Back pain, acute",Combination Product in combination with:Thiocolchicoside (DB11582)
DB00712,Used in combination for symptomatic treatment of,Chronic back pain,Combination Product in combination with:Thiocolchicoside (DB11582)
DB00712,Used in combination for symptomatic treatment of,Chronic back pain,Combination Product in combination with:Thiocolchicoside (DB11582)
DB00713,Treatment of,Catheter related infections,
DB00713,Treatment of,Community acquired pneumonia,
DB00713,Treatment of,Infections caused by penicillinase-producing staphylococci,
DB00713,Treatment of,Necrotizing soft tissue infection,
DB00713,Treatment of,Surgical site infections,
DB00714,Treatment of,Hypomobility,
DB00715,Treatment of,Generalized anxiety disorder,
DB00715,Symptomatic treatment of,Irritable bowel syndrome,
DB00715,Treatment of,Major depressive disorder,
DB00715,Treatment of,Obsessive-compulsive disorder,
DB00715,Treatment of,Obsessive-compulsive disorder,
DB00716,Treatment of,Allergic rhinitis (ar),
DB00716,Adjunct therapy in treatment of,Asthma,
DB00716,Treatment of,Itching of the eye,
DB00717,Used in combination for symptomatic treatment of,Endometriosis related pain,"Combination Product in combination with:Ethanol (DB00898),Leuprolide (DB00007)"
DB00717,Used in combination to manage,Heavy menstrual bleeding,"Combination Product in combination with:Estradiol (DB00783),Relugolix (DB11853)"
DB00717,Used in combination to treat,Moderate to severe vasomotor symptoms,Combination Product in combination with:Estradiol (DB00783)
DB00717,Used in combination to prevent,Osteoporosis,Combination Product in combination with:Estradiol valerate (DB13956)
DB00717,Used in combination to prevent,Postmenopausal osteoporosis (pmo),Combination Product in combination with:Ethinylestradiol (DB00977)
DB00718,Management of,Chronic hepatitis b,
DB00720,Management of,Hypercalcemia of malignancy,
DB00720,Management of,Osteolytic bone metastases,
DB00721,Used in combination to treat,Otalgia,Combination Product in combination with:Antipyrine (DB01435)
DB00722,Management of,Acute myocardial infarction,
DB00722,Prevention of,Cardiovascular events,
DB00722,Adjunct therapy in management of,Congestive heart failure,
DB00722,Management of,Diabetic nephropathy,
DB00722,Management of,Diabetic nephropathy,
DB00724,Treatment of,Actinic keratoses of the face,
DB00724,Treatment of,Actinic keratoses of the scalp,
DB00724,Treatment of,Condyloma acuminata,
DB00724,Management of,Hsv infection,
DB00724,Treatment of,Molluscum contagiosum,
DB00725,Used in combination for symptomatic treatment of,Cough,Combination Product in combination with:Hydrocodone (DB00956)
DB00725,Used in combination for symptomatic treatment of,Cough,Combination Product in combination with:Hydrocodone (DB00956)
DB00726,Treatment of,Depression,
DB00726,Treatment of,Insomnia,
DB00726,Treatment of,Nocturnal enuresis,
DB00727,Management of,Angina attacks,
DB00727,Management of,Angina pectoris,
DB00727,Prevention of,Angina pectoris,
DB00727,Prophylaxis of,Angina pectoris,
DB00727,Used in combination to manage,Angina pectoris,Combination Product in combination with:D-glucose (DB01914)
DB00728,Prophylaxis of,Muscle fasciculation caused by succinylcholine,
DB00731,Management of,Type 2 diabetes mellitus,
DB00733,Used in combination to treat,Toxic effect of organophosphate and carbamate,Regimen in combination with:Atropine (DB00572)
DB00733,Used in combination for symptomatic treatment of,Anticholinesterase overdose,Combination Product in combination with:Atropine (DB00572)
DB00733,Used in combination to reverse,Anticholinesterase overdose,Combination Product in combination with:Atropine (DB00572)
DB00734,Treatment of,Acute mania,
DB00734,Adjunct therapy in treatment of,Acute mania,
DB00734,Adjunct therapy in treatment of,Acute mania,
DB00734,Treatment of,Irritability,
DB00734,Treatment of,Mixed manic depressive episode,
DB00735,Treatment of,Tinea corporis,
DB00735,Treatment of,Tinea corporis,
DB00735,Treatment of,Tinea cruris,
DB00735,Treatment of,Tinea cruris,
DB00735,Treatment of,Tinea pedis,
DB00736,Used in combination to treat,Duodenal ulcer,Combination Product in combination with:Sodium bicarbonate (DB01390)
DB00736,Treatment of,Erosive esophagitis,
DB00736,Used in combination to manage,Erosive esophagitis (ee),Combination Product in combination with:Sodium bicarbonate (DB01390)
DB00736,Used in combination for symptomatic treatment of,Erosive esophagitis (ee),Combination Product in combination with:Sodium bicarbonate (DB01390)
DB00736,Management of,Gerd,
DB00737,Prevention of,Motion sickness,
DB00737,Symptomatic treatment of,Motion sickness,
DB00737,Management of,Vertigo,
DB00738,Treatment of,Pneumocystis carinii pneumonia,
DB00738,Prophylaxis of,Pneumocystis jirovecii pneumonia,
DB00738,Prophylaxis of,Pneumocystis jirovecii pneumonia,
DB00738,Prophylaxis of,Pneumocystis jirovecii pneumonia,
DB00738,Treatment of,Trypanosomiasis,
DB00740,Management of,Amyotrophic lateral sclerosis,
DB00741,Treatment of,Acquired hemolytic anemia,
DB00741,Management of,Acute gouty arthritis,
DB00741,Symptomatic treatment of,Acute leukemia,
DB00741,Used in combination to treat,Acute otitis externa,Combination Product in combination with:Ciprofloxacin (DB00537)
DB00741,Treatment of,Adrenal insufficiency,
DB00742,Treatment of,Acute renal failure,
DB00742,Treatment of,Cerebral edema,
DB00742,Adjunct therapy in maintenance of,Cystic fibrosis (cf),
DB00742,Management of,Increased intraocular pressure,
DB00743,Diagnostic agent,Aortoiliac occlusive disease,
DB00743,Diagnostic agent,Cns abnormal vascularity,
DB00743,Diagnostic agent,Femoral artery occlusion,
DB00743,Diagnostic agent,Femoral vein occlusion,
DB00743,Diagnostic agent,Renal artery occlusion,
DB00744,Prevention of,Asthma,
DB00744,Management of,Chronic asthma,
DB00745,Symptomatic treatment of,Adhd,
DB00745,Management of,Fatigue,
DB00745,Management of,Fatigue,
DB00745,Adjunct therapy in treatment of,Major depressive disorder,
DB00745,Symptomatic treatment of,Narcolepsy,
DB00746,Diagnostic agent,Aluminum overload,
DB00746,Treatment of,Chronic iron overload,
DB00746,Treatment of,Chronic aluminum overload,
DB00746,Treatment of,Acute iron intoxication,
DB00747,Prophylaxis of,Motion sickness,
DB00747,Prophylaxis of,Post-operative nausea and vomiting,
DB00748,Symptomatic treatment of,Allergic conjunctivitis,
DB00748,Symptomatic treatment of,Allergic reactions,
DB00748,Symptomatic treatment of,Allergic rhinitis,
DB00748,Adjunct therapy in treatment of,Anaphylaxis,
DB00748,Symptomatic treatment of,Angioedema,
DB00749,Management of,Acute pain,
DB00749,Used in combination to manage,Chronic back pain,"Combination Product in combination with:Famotidine (DB00927),Thiocolchicoside (DB11582)"
DB00749,Used in combination to manage,Chronic back pain,"Combination Product in combination with:Thiocolchicoside (DB11582),Famotidine (DB00927)"
DB00749,Used in combination for symptomatic treatment of,Extra-articular rheumatism,"Combination Product in combination with:Thiocolchicoside (DB11582),Famotidine (DB00927)"
DB00749,Used in combination for symptomatic treatment of,Extra-articular rheumatism,"Combination Product in combination with:Famotidine (DB00927),Thiocolchicoside (DB11582)"
DB00751,Symptomatic treatment of,Allergic conjunctivitis,
DB00752,Treatment of,Depressive episode,
DB00754,Treatment of,Generalised tonic-clonic seizure,
DB00754,Treatment of,Partial complex seizure,
DB00755,Treatment of,Acne vulgaris,
DB00755,Used in combination to treat,Acne vulgaris,Combination Product in combination with:Benzoyl peroxide (DB09096)
DB00755,Used in combination to treat,Acne vulgaris,Combination Product in combination with:Clindamycin (DB01190)
DB00755,Used in combination to treat,Alopecia,Combination Product in combination with:Minoxidil (DB00350)
DB00755,Used in combination to treat,Cornification and dystrophic skin disorders,Combination Product in combination with:Urea (DB03904)
DB00756,Prophylaxis of,Bacterial infection,
DB00757,Prophylaxis of,Chemotherapy-induced nausea and vomiting,
DB00757,Prophylaxis of,Post-operative nausea and vomiting,
DB00757,Treatment of,Postoperative nausea and vomiting,
DB00758,Used in combination to manage,Acute coronary syndrome (acs),Combination Product in combination with:Acetylsalicylic acid (DB00945)
DB00758,Used in combination to manage,Acute myocardial infarction,Combination Product in combination with:Acetylsalicylic acid (DB00945)
DB00758,Prevention of,Cardiovascular event,
DB00758,Prevention of,Cardiovascular event,
DB00758,Prevention of,Cardiovascular event,
DB00759,Treatment of,Acinetobacter infection,
DB00759,Treatment of,Actinomycosis,
DB00759,Used in combination to treat,Acute urinary tract infection,"Combination Product in combination with:Sulfamethizole (DB00576),Phenazopyridine (DB01438)"
DB00759,Treatment of,Anthrax,
DB00759,Treatment of,Bacterial infections,
DB00760,Treatment of,Bacterial infections,
DB00760,Treatment of,Bacterial meningitis,
DB00760,Treatment of,Complicated intra-abdominal infections,
DB00760,Used in combination to treat,Complicated urinary tract infection bacterial,Combination Product in combination with:Vaborbactam (DB12107)
DB00760,Treatment of,Complicated skin infection bacterial,
DB00761,Used in combination to treat,Dehydration,"Combination Product in combination with:Sodium chloride (DB09153),Sodium acetate (DB09395),Magnesium chloride (DB09407)"
DB00761,Used in combination to treat,Dry mouth,"Combination Product in combination with:Calcium chloride (DB01164),Magnesium chloride (DB09407)"
DB00761,Treatment of,Hypokalemia,
DB00761,Prophylaxis of,Hypokalemia,
DB00761,Used in combination to treat,Hypotonic dehydration,"Combination Product in combination with:Lactic acid (DB04398),Calcium chloride (DB01164),Magnesium chloride (DB09407),Sodium chloride (DB09153)"
DB00762,Used in combination to treat,Esophageal cancer,
DB00762,Used in combination to treat,Gastric cancer,
DB00762,Used in combination to treat,Glioblastoma,
DB00762,Treatment of,Metastatic cervical cancer,
DB00762,Treatment of,Metastatic colorectal cancer (crc),
DB00763,Management of,Graves' disease,
DB00763,Treatment of,Hyperthyroidism,
DB00763,Symptomatic treatment of,Hyperthyroidism,
DB00763,Treatment of,Toxic multinodular goiter,
DB00764,Management of,Allergic rhinitis (ar),
DB00764,Management of,Asthma,
DB00764,Management of,Bacterial sinusitis,
DB00764,Treatment of,Pruritus,
DB00764,Management of,Sinusitis,
DB00765,Management of,Pheochromocytoma,
DB00766,Used in combination to treat,Acute cystitis,Combination Product in combination with:Cefixime (DB00671)
DB00766,Used in combination to treat,Acute uncomplicated pyelonephritis,Combination Product in combination with:Cefixime (DB00671)
DB00766,Used as adjunct in combination to treat,Bacterial infections,"Combination Product in combination with:Amoxicillin (DB01060),Ticarcillin (DB01607)"
DB00766,Used in combination to treat,"Bacterial infection due to streptococcus, group a",Combination Product in combination with:Cefixime (DB00671)
DB00766,Used in combination to treat,Bone and joint infections,Combination Product in combination with:Ticarcillin (DB01607)
DB00768,Symptomatic treatment of,Allergic conjunctivitis,
DB00768,Symptomatic treatment of,Allergic rhinitis (ar),
DB00768,Used in combination for symptomatic treatment of,Seasonal allergic rhinitis,Combination Product in combination with:Mometasone furoate (DB14512)
DB00768,Symptomatic treatment of,Seasonal allergic rhinitis,
DB00768,Used in combination for symptomatic treatment of,"Moderate, severe seasonal allergic rhinitis",Combination Product in combination with:Mometasone furoate (DB14512)
DB00770,Diagnostic agent,Erectile dysfunction,
DB00770,Management of,Erectile dysfunction,
DB00770,Management of,Patent ductus arteriosus,
DB00770,Treatment of,Raynaud phenomenon,
DB00771,Used as adjunct in combination to treat,Irritable bowel syndrome,Combination Product in combination with:Chlordiazepoxide (DB00475)
DB00771,Used as adjunct in combination to treat,Peptic ulcer disease,Combination Product in combination with:Chlordiazepoxide (DB00475)
DB00771,Used as adjunct in combination to treat,Acute enterocolitis,Combination Product in combination with:Chlordiazepoxide (DB00475)
DB00772,Treatment of,Head lice,
DB00773,Treatment of,Acute lymphoblastic leukemia,
DB00773,Treatment of,Acute myeloid leukemia,
DB00773,Used in combination to treat,Ewing's sarcoma,
DB00773,Treatment of,Gestational trophoblastic disease,
DB00773,Treatment of,Merkel cell cancer,
DB00774,Adjunct therapy in treatment of,Edema,
DB00774,Adjunct therapy in treatment of,Edema,
DB00774,Adjunct therapy in treatment of,Edema,
DB00774,Adjunct therapy in treatment of,Edema,
DB00774,Adjunct therapy in treatment of,Edema,
DB00775,Prevention of,Cardiovascular event,
DB00775,Prevention of,Cardiovascular event,
DB00776,Management of,Partial-onset seizures,
DB00776,Adjunct therapy in management of,Partial-onset seizures,
DB00776,Adjunct therapy in management of,Partial-onset seizures,
DB00776,Management of,Partial-onset seizures,
DB00776,Management of,Partial-onset seizures,
DB00778,Treatment of,Lower respiratory tract and lung infections,
DB00778,Treatment of,Respiratory tract infections (rti),
DB00778,Treatment of,Skin infections,
DB00778,Treatment of,"Ear, nose and throat infections",
DB00779,Treatment of,Urinary tract infection,
DB00780,Treatment of,Exogenous depression,
DB00780,Treatment of,Neurotic depression,
DB00780,Treatment of,Atypical depressive disorder,
DB00782,Adjunct therapy in treatment of,Peptic ulcer,
DB00782,Used in combination to treat,Gastrointestinal spasms,Combination Product in combination with:Bromazepam (DB01558)
DB00783,Treatment of,Atrophic vaginitis,
DB00783,For therapy,Breast cancer,
DB00783,For therapy,Breast cancer,
DB00783,For therapy,Breast cancer,
DB00783,For therapy,Breast cancer,
DB00784,Treatment of,Primary dysmenorrhea,
DB00784,Used in combination to treat,Gastrointestinal cramps,Combination Product in combination with:Dicyclomine (DB00804)
DB00784,Treatment of,Mild pain,
DB00784,Treatment of,Moderate pain,
DB00787,Treatment of,Bell palsy,
DB00787,Treatment of,Chickenpox,
DB00787,Prophylaxis of,Cytomegalovirus infection,
DB00787,Treatment of,Hsv infection,
DB00787,Prophylaxis of,Hsv re-activation,
DB00788,Symptomatic treatment of,Acute gouty arthritis,
DB00788,Treatment of,Acute migraine,
DB00788,Used in combination to treat,Acute migraine,Combination Product in combination with:Sumatriptan (DB00669)
DB00788,Used in combination for symptomatic treatment of,Ankylosing spondylitis,Combination Product in combination with:Esomeprazole (DB00736)
DB00788,Symptomatic treatment of,Ankylosing spondylitis,
DB00790,Used in combination to prevent,Cardiovascular events,Combination Product in combination with:Atorvastatin (DB01076)
DB00790,Management of,Diabetic nephropathy,
DB00790,Management of,Essential hypertension,
DB00790,Used in combination to manage,Hypertension,Combination Product in combination with:Amlodipine (DB00381)
DB00790,Used in combination to manage,Hypertension,Combination Product in combination with:Indapamide (DB00808)
DB00792,Symptomatic treatment of,Itching caused by insect bites,
DB00792,Symptomatic treatment of,Itching caused by jellyfish stings,
DB00792,Symptomatic treatment of,Itching caused by nettles,
DB00794,Management of,Essential tremor,
DB00794,Management of,Focal seizures,
DB00794,Management of,Grand mal seizure,
DB00794,Management of,Psychomotor seizures,
DB00795,Adjunct therapy in management of,Crohn's disease,
DB00795,Adjunct therapy in management of,Distal ulcerative colitis,
DB00795,Management of,Mild to moderate ulcerative colitis,
DB00795,Management of,Polyarticular juvenile rheumatoid arthritis,
DB00795,Adjunct therapy in management of,Proctitis,
DB00796,Management of,Diabetic nephropathy,
DB00796,Management of,Hypertension,
DB00796,Used in combination to manage,Hypertension,Combination Product in combination with:Hydrochlorothiazide (DB00999)
DB00796,Prophylaxis of,Migraine,
DB00796,Management of,Nyha class ii heart failure,
DB00798,Used in combination to treat,Bacterial conjunctivitis,Combination Product in combination with:Dexamethasone (DB01234)
DB00798,Treatment of,Bacterial infections,
DB00798,Treatment of,Bacterial meningitis,
DB00798,Treatment of,Bacterial corneal ulcer,
DB00798,Treatment of,Bacterial dacryocystitis,
DB00799,Management of,Plaque psoriasis,
DB00799,Symptomatic treatment of,Benign facial lentigines,
DB00799,Symptomatic treatment of,Facial fine wrinkling,
DB00799,Symptomatic treatment of,Facial hyperpigmentation,
DB00799,Symptomatic treatment of,Facial hypopigmentation,
DB00800,Treatment of,Malignant hypertension,
DB00800,Treatment of,Severe hypertension,
DB00803,Used in combination to treat,Ear infection bacterial,"Combination Product in combination with:Neomycin (DB00994),Hydrocortisone (DB00741)"
DB00803,Used in combination to treat,External ear infection,"Combination Product in combination with:Hydrocortisone acetate (DB14539),Neomycin (DB00994),Thonzonium (DB09552)"
DB00804,Symptomatic treatment of,Functional bowel syndrome,
DB00804,Symptomatic treatment of,Irritable bowel syndrome,
DB00804,Used in combination to treat,Gastrointestinal cramps caused by gas,Combination Product in combination with:Simethicone (DB09512)
DB00806,Management of,Alcoholic liver disease,
DB00806,Management of,Intermittent claudication,
DB00806,Management of,Venous leg ulcer,
DB00808,Used in combination to manage,High blood pressure (hypertension),
DB00808,Management of,High blood pressure (hypertension),
DB00808,Management of,Nephrolithiasis recurrent,
DB00808,Management of,Sodium and fluid retention,
DB00810,Management of,Extrapyramidal symptoms,
DB00810,Management of,Extrapyramidal disorder caused by neuroleptic drugs without tardive dyskinesia,
DB00810,Management of,Parkinson's disease (pd),
DB00810,Treatment of,Parkinson's disease (pd),
DB00810,Reversal of,Poisoning caused by nicotine,
DB00811,Used in combination to treat,Chronic hepatitis c,Combination Product in combination with:Peginterferon alfa-2a (DB00008)
DB00811,Used in combination to treat,Chronic hepatitis c,Combination Product in combination with:Peginterferon alfa-2a (DB00008)
DB00811,Treatment of,Severe respiratory syncytial virus infection,
DB00812,Treatment of,Inflammatory reaction,
DB00812,Treatment of,Pain,
DB00812,Treatment of,Arthritic pain,
DB00813,Management of,Breakthrough cancer pain,
DB00813,Treatment of,Severe chronic pain,
DB00814,Treatment of,Dental pain,
DB00814,Symptomatic treatment of,Osteoarthritis,
DB00814,Used in combination for symptomatic treatment of,"Pain, inflammatory",Combination Product in combination with:Esomeprazole (DB00736)
DB00814,Used in combination for symptomatic treatment of,"Pain, inflammatory",Combination Product in combination with:Esomeprazole (DB00736)
DB00814,Treatment of,"Pain, neuropathic",
DB00816,Management of,Asthma,
DB00816,Treatment of,Bronchospasm,
DB00816,Management of,Chronic bronchitis,
DB00816,Management of,Pulmonary emphysema,
DB00819,Treatment of,Acute mountain sickness,
DB00819,Adjunct therapy in treatment of,Edema,
DB00819,Treatment of,Familial periodic paralysis,
DB00819,Treatment of,Metabolic alkalosis,
DB00819,Adjunct therapy in treatment of,Open angle glaucoma,
DB00820,Treatment of,Benign prostate hyperplasia,
DB00820,Used in combination to treat,Benign prostatic hyperplasia (bph),Combination Product in combination with:Finasteride (DB01216)
DB00820,Management of,Erectile dysfunction,
DB00820,Management of,Pulmonary arterial hypertension,
DB00822,Management of,Chronic alcoholism,
DB00823,Used in combination to manage,Abnormal uterine bleeding,Combination Product in combination with:Ethinylestradiol (DB00977)
DB00823,Used in combination to manage,Dysmenorrhea,Combination Product in combination with:Ethinylestradiol (DB00977)
DB00823,Used in combination to manage,Menorrhagia,Combination Product in combination with:Ethinylestradiol (DB00977)
DB00823,Used in combination to manage,Pain,Combination Product in combination with:Ethinylestradiol (DB00977)
DB00823,Used in combination to manage,Polycystic ovarian syndrome,Combination Product in combination with:Ethinylestradiol (DB00977)
DB00825,Used in combination to treat,Allergies,"Combination Product in combination with:Ammonium chloride (DB06767),Diphenhydramine (DB01075)"
DB00825,Used in combination for symptomatic treatment of,Arthritis,"Combination Product in combination with:Mentha arvensis top (DB14346),Eucalyptus oil (DB11114),Camphor (DB01744)"
DB00825,Used in combination for symptomatic treatment of,Arthritis,"Combination Product in combination with:Camphor (DB01744),Methyl salicylate (DB09543)"
DB00825,Used in combination for symptomatic treatment of,Arthritis,"Combination Product in combination with:Eucalyptus oil (DB11114),Camphor (DB01744),Methyl salicylate (DB09543)"
DB00825,Used in combination to treat,Back pain lower back,"Combination Product in combination with:alpha-Tocopherol acetate (DB14003),Glycol salicylate (DB11323),Nonivamide (DB11324)"
DB00826,Treatment of,Fungal keratitis,
DB00826,Treatment of,Fungal blepharitis,
DB00826,Treatment of,Fungal conjunctivitis,
DB00828,Treatment of,Complicated urinary tract infection,
DB00828,Treatment of,Uncomplicated urinary tract infections caused by e. coli,
DB00828,Treatment of,Uncomplicated urinary tract infections caused by enterococcus faecalis,
DB00829,Symptomatic treatment of,Acute agitation,
DB00829,Symptomatic treatment of,Acute agitation,
DB00829,Symptomatic treatment of,Alcohol withdrawal delirium,
DB00829,Symptomatic treatment of,Alcohol withdrawal delirium,
DB00829,Symptomatic treatment of,Alcohol withdrawal hallucinosis,
DB00831,Management of,Agitation,
DB00831,Management of,Psychosis,
DB00831,Management of,Schizophrenia,
DB00831,Management of,Acute non-psychotic anxiety,
DB00833,Treatment of,Acute exacerbation of chronic bronchitis caused by streptococcus pneumoniae,
DB00833,Treatment of,Acute exacerbations of chronic bronchitis caused by haemophilus influenza,
DB00833,Treatment of,Acute exacerbations of chronic bronchitis caused by moraxella catarrhalis,
DB00833,Treatment of,Bacterial infections,
DB00833,Treatment of,Lower respiratory tract infection bacterial,
DB00834,Management of,Hyperglycemia,
DB00835,Used in combination to treat,Acute nasopharyngitis,Combination Product in combination with:Phenylephrine (DB00388)
DB00835,Used in combination for symptomatic treatment of,Allergic rhinitis,"Mixture Product in combination with:Pseudoephedrine (DB00852),Dextromethorphan (DB00514)"
DB00835,Symptomatic treatment of,Allergic rhinitis,
DB00835,Used in combination to treat,Allergic rhinitis,Combination Product in combination with:Phenylephrine (DB00388)
DB00835,Used in combination for symptomatic treatment of,Allergies,"Combination Product in combination with:Acetaminophen (DB00316),Phenylephrine (DB00388)"
DB00836,Symptomatic treatment of,Diarrhea,
DB00836,Symptomatic treatment of,Traveler's diarrhea,
DB00838,Management of,Dermatoses,
DB00839,Management of,Type 2 diabetes mellitus,
DB00840,Symptomatic treatment of,Corneal erosions,
DB00840,Symptomatic treatment of,Dry eye syndrome,
DB00840,Symptomatic treatment of,Keratitis,
DB00840,Symptomatic treatment of,Keratoconjunctivitis sicca,
DB00841,Management of,Cardiac decompensation,
DB00841,Diagnostic agent,Coronary artery disease,
DB00842,Symptomatic treatment of,Alcohol withdrawal,
DB00842,Symptomatic treatment of,Anxiety,
DB00842,Management of,Anxiety disorders,
DB00843,Used in combination to manage,Alzheimer's disease (ad),"Combination Product in combination with:Ginkgo biloba (DB01381),Memantine (DB01043)"
DB00843,Management of,Dementia due to parkinson's disease,
DB00843,Treatment of,Dementia of the alzheimer's type,
DB00843,Treatment of,Dementia of the alzheimer's type,
DB00843,Used in combination to manage,Dementia of the alzheimer's type,Combination Product in combination with:Ginkgo biloba (DB01381)
DB00844,Management of,Severe pain,
DB00844,Management of,Moderate pain,
DB00844,Treatment of,Obstetrical analgesia during labor and delivery therapy,
DB00845,Used in combination to treat,"Leprosy, lepromatous",
DB00846,Management of,Dermatoses,
DB00847,Management of,Nephropathic cystinosis,
DB00847,Treatment of,Corneal cystine crystal accumulation,
DB00848,Treatment of,Adenocarcinoma of colon,
DB00848,Treatment of,Ancylostoma duodenale infection,
DB00848,Treatment of,Ascaris lumbricoides infection,
DB00848,Treatment of,"Carcinoma, colorectal",
DB00848,Treatment of,Enterobius vermicularis infection,
DB00850,Used in combination to treat,Anxiety,Combination Product in combination with:Amitriptyline (DB00321)
DB00850,Used in combination to treat,Depression,Combination Product in combination with:Amitriptyline (DB00321)
DB00850,Management of,Schizophrenia,
DB00850,Used in combination to treat,Moderate agitation,Combination Product in combination with:Amitriptyline (DB00321)
DB00850,Used in combination to treat,Moderate anxiety,Combination Product in combination with:Amitriptyline (DB00321)
DB00851,Used in combination to treat,Advanced soft tissue sarcoma,
DB00851,Used in combination to treat,Hodgkin lymphoma,
DB00851,Treatment of,Metastatic melanoma,
DB00851,Used in combination to treat,Pheochromocytoma,
DB00851,Used in combination to treat,Advanced medullary thyroid cancer,
DB00852,Used in combination for symptomatic treatment of,Allergic rhinitis (ar),Combination Product in combination with:Loratadine (DB00455)
DB00852,Used in combination for symptomatic treatment of,Allergic rhinitis (ar),"Combination Product in combination with:Triprolidine (DB00427),Guaifenesin (DB00874)"
DB00852,Used in combination to treat,Allergic rhinitis (ar),Combination Product in combination with:Chlorpheniramine (DB01114)
DB00852,Used in combination to treat,Allergies,Combination Product in combination with:Loratadine (DB00455)
DB00852,Used in combination for symptomatic treatment of,Common cold,"Combination Product in combination with:Ibuprofen (DB01050),Ascorbic acid (DB00126)"
DB00853,Treatment of,Advanced melanoma,
DB00853,Maintenance of,Glioblastomas,
DB00853,Used as adjunct in combination to treat,Glioblastomas,
DB00853,Used in combination to treat,Primary cns lymphoma,
DB00853,Treatment of,Refractory ewing sarcoma,
DB00854,Management of,Severe pain,
DB00854,Management of,Moderate pain,
DB00855,Treatment of,Actinic cheilitis,
DB00855,Adjunct therapy in treatment of,Actinic keratoses of the face,
DB00855,Adjunct therapy in treatment of,Actinic keratoses of the face,
DB00855,Adjunct therapy in treatment of,Actinic keratoses of the scalp,
DB00855,Adjunct therapy in treatment of,Actinic keratoses of the scalp,
DB00856,Used as adjunct for symptomatic treatment of,Muscle spasm,
DB00857,Treatment of,Onychomycosis,
DB00857,Treatment of,Sporotrichosis,
DB00857,Treatment of,Tinea capitis,
DB00857,Treatment of,Tinea corporis,
DB00857,Treatment of,Tinea cruris,
DB00859,Management of,Cystinuria,
DB00859,Treatment of,Lead poisoning,
DB00859,Management of,Wilson's disease,
DB00859,Management of,Refractory rheumatoid arthritis,
DB00859,Management of,Severe rheumatoid arthritis,
DB00860,Management of,Acne rosacea,
DB00860,Treatment of,Acute gouty arthritis,
DB00860,Management of,Acute leukemia,
DB00860,Management of,Allergic bronchopulmonary aspergillosis,
DB00860,Management of,Allergic conjunctivitis,
DB00861,Symptomatic treatment of,Osteoarthritis,
DB00861,Symptomatic treatment of,Rheumatoid arthritis,
DB00861,Symptomatic treatment of,Mild pain,
DB00861,Symptomatic treatment of,Moderate pain,
DB00862,Management of,Erectile dysfunction,
DB00863,Prophylaxis of,Acid aspiration syndrome,
DB00863,Used in combination for symptomatic treatment of,Ankylosing spondylitis,"Regimen in combination with:Capsicum oleoresin (DB11131),Diclofenac (DB00586)"
DB00863,Prophylaxis of,Duodenal ulcer,
DB00863,Treatment of,Duodenal ulcer,
DB00863,Used in combination to treat,Erosive esophagitis,"Regimen in combination with:Magnesium carbonate (DB09481),Aluminum hydroxide (DB06723),Calcium carbonate (DB06724),Almasilate (DB13595),Sodium bicarbonate (DB01390),Aluminium phosphate (DB14517),Magnesium trisilicate (DB09281),Magnesium hydroxide (DB09104),Magnesium oxide (DB01377),Magaldrate (DB08938),Aluminium (DB01370)"
DB00864,Prevention of,Graft-versus-host disease,
DB00864,Treatment of,Graft-versus-host disease,
DB00864,Adjunct therapy in prophylaxis of,Heart transplant rejection,
