DrugBank ID,Water Solubility,logP,logS,pKa (Strongest Acidic),pKa (Strongest Basic),Physiological Charge,Hydrogen Acceptor Count,Hydrogen Donor Count,Polar Surface Area,Rotatable Bond Count,Refractivity,Polarizability,Number of Rings,Bioavailability,Rule of Five,Ghose Filter,Veber's Rule,MDDR-like Rule,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB18246,,3.73,,,5.06,0,13,6,307.9 Å2,20,352.75 m3·mol-1,145.88 Å3,1,0,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14110,742.0 mg/mL,-0.73,0.92,15.41,-2.4,0,2,2,40.46 Å2,2,23.84 m3·mol-1,9.96 Å3,0,1,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00421,0.00198 mg/mL,3.64,-5.3,17.89,-4.9,0,3,0,60.44 Å2,2,113.5 m3·mol-1,46.03 Å3,5,1,Yes,Yes,No,No,+,0.9912,+,0.932,+,0.5432,Substrate,0.5691,Inhibitor,0.6807,Inhibitor,0.8388,Non-inhibitor,0.727,Non-substrate,0.7897,Non-substrate,0.9116,Substrate,0.6638,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9276,Non-inhibitor,0.9025,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8681,Non AMES toxic,0.9158,Non-carcinogens,0.9288,Not ready biodegradable,0.9696,"2.0150 LD50, mol/kg",Not applicable,Weak inhibitor,0.9427,Non-inhibitor,0.7002
DB14136,0.194 mg/mL,3.45,-3.1,14.82,-2.9,0,3,1,55.76 Å2,6,68.93 m3·mol-1,29.72 Å3,1,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00422,0.182 mg/mL,2.25,-3.1,,9.09,1,2,1,38.33 Å2,4,66.73 m3·mol-1,25.91 Å3,2,1,Yes,Yes,Yes,No,+,0.9941,+,0.9663,+,0.6564,Substrate,0.5466,Non-inhibitor,0.7964,Non-inhibitor,0.9601,Inhibitor,0.532,Non-substrate,0.7897,Non-substrate,0.9116,Non-substrate,0.5985,Non-inhibitor,0.592,Non-inhibitor,0.897,Non-inhibitor,0.5245,Non-inhibitor,0.9265,Non-inhibitor,0.8539,Low CYP Inhibitory Promiscuity,0.9328,Non AMES toxic,0.9133,Non-carcinogens,0.9648,Not ready biodegradable,0.5759,"2.7718 LD50, mol/kg",Not applicable,Weak inhibitor,0.8466,Non-inhibitor,0.7491
DB14140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07768,0.0333 mg/mL,3.37,-3.9,18.52,-0.88,0,2,1,37.3 Å2,0,84.43 m3·mol-1,33.93 Å3,4,1,Yes,Yes,Yes,No,+,1.0,+,0.973,+,0.8984,Substrate,0.6498,Inhibitor,0.5489,Non-inhibitor,0.8923,Non-inhibitor,0.7324,Non-substrate,0.8167,Non-substrate,0.9116,Substrate,0.7739,Non-inhibitor,0.9005,Non-inhibitor,0.95,Non-inhibitor,0.9452,Non-inhibitor,0.6668,Non-inhibitor,0.8812,Low CYP Inhibitory Promiscuity,0.8683,Non AMES toxic,0.9382,Non-carcinogens,0.9483,Not ready biodegradable,0.9174,"1.6259 LD50, mol/kg",Not applicable,Weak inhibitor,0.8938,Non-inhibitor,0.7163
DB04825,3.54e-05 mg/mL,6.12,-7,,10.48,1,1,1,12.03 Å2,8,107.09 m3·mol-1,39.76 Å3,3,1,No,No,Yes,Yes,+,1.0,+,0.9774,+,0.8194,Substrate,0.5313,Inhibitor,0.59,Non-inhibitor,0.7214,Inhibitor,0.6263,Non-substrate,0.7387,Substrate,0.8796,Non-substrate,0.6941,Inhibitor,0.8455,Non-inhibitor,0.9304,Inhibitor,0.927,Inhibitor,0.6787,Non-inhibitor,0.6841,Low CYP Inhibitory Promiscuity,0.6512,Non AMES toxic,0.8094,Non-carcinogens,0.8812,Not ready biodegradable,0.86,"3.0889 LD50, mol/kg",Not applicable,Weak inhibitor,0.7311,Inhibitor,0.7538
DB00436,0.214 mg/mL,1.7,-3.3,9.04,-3.1,0,5,3,118.36 Å2,4,93.68 m3·mol-1,36.92 Å3,3,1,Yes,Yes,No,No,+,0.9643,-,0.7807,-,0.7105,Non-substrate,0.6048,Non-inhibitor,0.7889,Non-inhibitor,0.8383,Non-inhibitor,0.8835,Non-substrate,0.708,Non-substrate,0.8398,Non-substrate,0.6596,Inhibitor,0.8745,Non-inhibitor,0.907,Non-inhibitor,0.9351,Non-inhibitor,0.9287,Non-inhibitor,0.8607,Low CYP Inhibitory Promiscuity,0.9081,Non AMES toxic,0.8474,Non-carcinogens,0.8156,Not ready biodegradable,1.0,"2.0888 LD50, mol/kg",Not applicable,Weak inhibitor,0.9858,Non-inhibitor,0.8967
DB18409,,0.93,,1.38,2.4,-2,8,5,171.58 Å2,7,124.83 m3·mol-1,50.68 Å3,4,1,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02645,421.0 mg/mL,-2.4,0.23,12.21,-3,0,7,4,111.91 Å2,5,54.28 m3·mol-1,24.4 Å3,2,1,Yes,No,No,No,-,0.9108,+,0.5719,-,0.7947,Non-substrate,0.5113,Non-inhibitor,0.8839,Non-inhibitor,0.933,Non-inhibitor,0.8192,Non-substrate,0.8701,Non-substrate,0.8509,Non-substrate,0.6444,Non-inhibitor,0.9142,Non-inhibitor,0.8762,Non-inhibitor,0.9273,Non-inhibitor,0.8676,Non-inhibitor,0.9745,Low CYP Inhibitory Promiscuity,0.9719,Non AMES toxic,0.6211,Non-carcinogens,0.963,Not ready biodegradable,0.6765,"1.8232 LD50, mol/kg",Not applicable,Weak inhibitor,0.8579,Non-inhibitor,0.8025
DB00443,0.0505 mg/mL,1.68,-3.9,12.42,-3.3,0,5,3,94.83 Å2,2,102.49 m3·mol-1,40.81 Å3,4,1,Yes,Yes,No,No,+,0.992,+,0.9781,+,0.8304,Substrate,0.7862,Non-inhibitor,0.8112,Non-inhibitor,0.8134,Non-inhibitor,0.7971,Non-substrate,0.8733,Non-substrate,0.9115,Substrate,0.7315,Non-inhibitor,0.938,Non-inhibitor,0.9106,Non-inhibitor,0.9231,Non-inhibitor,0.9247,Non-inhibitor,0.8308,Low CYP Inhibitory Promiscuity,0.9169,Non AMES toxic,0.9132,Non-carcinogens,0.9399,Not ready biodegradable,1.0,"2.1482 LD50, mol/kg",Not applicable,Weak inhibitor,0.9558,Inhibitor,0.5091
DB04846,0.174 mg/mL,1.5,-3.3,13.55,9.66,1,5,3,90.9 Å2,10,108.25 m3·mol-1,43.18 Å3,1,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04847,0.0115 mg/mL,1.85,-4.5,2.75,3.84,-1,5,3,108.75 Å2,5,92.85 m3·mol-1,35.7 Å3,3,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00460,0.0136 mg/mL,6.33,-4.7,4.18,4.86,-1,7,3,173.56 Å2,12,199.08 m3·mol-1,81.21 Å3,6,0,No,No,No,Yes,-,0.5377,+,0.6313,-,0.6425,Substrate,0.7738,Non-inhibitor,0.577,Non-inhibitor,0.5444,Non-inhibitor,0.7681,Non-substrate,0.8178,Non-substrate,0.822,Substrate,0.6429,Inhibitor,0.7915,Inhibitor,0.7158,Non-inhibitor,0.754,Non-inhibitor,0.7057,Non-inhibitor,0.5157,High CYP Inhibitory Promiscuity,0.652,Non AMES toxic,0.6596,Non-carcinogens,0.9368,Not ready biodegradable,1.0,"2.6756 LD50, mol/kg",Not applicable,Weak inhibitor,0.9884,Non-inhibitor,0.9038
DB04861,0.0403 mg/mL,3.21,-4,13.52,8.9,1,5,3,70.95 Å2,6,103.32 m3·mol-1,41.98 Å3,4,1,Yes,Yes,No,Yes,+,0.8483,+,0.7802,-,0.5549,Substrate,0.7928,Non-inhibitor,0.7443,Non-inhibitor,0.567,Non-inhibitor,0.8016,Non-substrate,0.8738,Non-substrate,0.7248,Non-substrate,0.6822,Inhibitor,0.5145,Non-inhibitor,0.7876,Non-inhibitor,0.5994,Non-inhibitor,0.5923,Non-inhibitor,0.9441,Low CYP Inhibitory Promiscuity,0.8336,Non AMES toxic,0.7132,Non-carcinogens,0.9402,Not ready biodegradable,0.9953,"2.7228 LD50, mol/kg",Not applicable,Strong inhibitor,0.5769,Inhibitor,0.8381
DB04862,0.11 mg/mL,1.94,-3.6,11.22,0.57,0,5,3,123.95 Å2,8,121.39 m3·mol-1,45.46 Å3,4,1,Yes,Yes,No,Yes,+,0.9495,+,0.8683,-,0.6274,Substrate,0.5991,Non-inhibitor,0.5808,Inhibitor,0.5883,Non-inhibitor,0.8136,Non-substrate,0.5843,Non-substrate,0.835,Non-substrate,0.5053,Non-inhibitor,0.5894,Non-inhibitor,0.5629,Non-inhibitor,0.7957,Inhibitor,0.5554,Inhibitor,0.6474,High CYP Inhibitory Promiscuity,0.7913,Non AMES toxic,0.5769,Non-carcinogens,0.9185,Not ready biodegradable,0.9853,"2.4165 LD50, mol/kg",Not applicable,Weak inhibitor,0.7275,Inhibitor,0.6595
DB00475,0.0199 mg/mL,0.19,-4.2,-2.7,7.06,1,3,1,50.46 Å2,1,87.34 m3·mol-1,31.22 Å3,3,1,Yes,Yes,No,No,+,1.0,+,0.9758,+,0.5868,Substrate,0.6705,Non-inhibitor,0.521,Non-inhibitor,0.7434,Non-inhibitor,0.5502,Non-substrate,0.6991,Non-substrate,0.9116,Substrate,0.7408,Inhibitor,0.7564,Non-inhibitor,0.6038,Non-inhibitor,0.7862,Non-inhibitor,0.5,Inhibitor,0.7067,High CYP Inhibitory Promiscuity,0.6372,Non AMES toxic,0.593,Non-carcinogens,0.7108,Not ready biodegradable,1.0,"2.8520 LD50, mol/kg",Not applicable,Weak inhibitor,0.9198,Non-inhibitor,0.8828
DB14205,,0.23,,3.09,,2,0,0,0 Å2,0,0 m3·mol-1,1.78 Å3,0,1,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14206,35.3 mg/mL,0.61,-0.57,-7,,-1,0,0,0 Å2,0,5.62 m3·mol-1,2.39 Å3,0,1,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00481,0.000512 mg/mL,5.46,-6,9,8.42,1,5,2,70 Å2,7,135.48 m3·mol-1,52.55 Å3,5,1,No,No,No,Yes,+,0.9865,+,0.8661,-,0.8957,Substrate,0.7751,Non-inhibitor,0.6231,Inhibitor,0.9366,Inhibitor,0.634,Non-substrate,0.7897,Non-substrate,0.9116,Substrate,0.5198,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Inhibitor,0.8932,Inhibitor,0.8986,Inhibitor,0.7617,High CYP Inhibitory Promiscuity,0.8222,Non AMES toxic,0.8487,Non-carcinogens,0.9433,Not ready biodegradable,0.9587,"2.5287 LD50, mol/kg",Not applicable,Weak inhibitor,0.6322,Inhibitor,0.5779
DB00489,0.782 mg/mL,-0.4,-2.5,10.07,9.43,1,4,3,78.43 Å2,5,71.12 m3·mol-1,29.34 Å3,1,1,Yes,Yes,No,No,+,0.995,+,0.9382,-,0.8957,Non-substrate,0.6708,Non-inhibitor,0.8881,Non-inhibitor,0.9638,Non-inhibitor,0.9514,Non-substrate,0.7392,Non-substrate,0.8296,Non-substrate,0.6194,Non-inhibitor,0.9046,Non-inhibitor,0.907,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.8807,Low CYP Inhibitory Promiscuity,0.8276,Non AMES toxic,0.9133,Non-carcinogens,0.587,Not ready biodegradable,0.9949,"2.2873 LD50, mol/kg",Not applicable,Weak inhibitor,0.846,Non-inhibitor,0.8701
DB00497,5.59 mg/mL,1.03,-1.8,13.57,8.77,1,5,1,59 Å2,1,84.04 m3·mol-1,32.79 Å3,5,1,Yes,Yes,No,No,+,0.9924,+,0.9885,+,0.7774,Substrate,0.8996,Inhibitor,0.539,Non-inhibitor,0.9122,Non-inhibitor,0.5413,Non-substrate,0.822,Substrate,0.8918,Substrate,0.7796,Non-inhibitor,0.9327,Non-inhibitor,0.9431,Non-inhibitor,0.5131,Non-inhibitor,0.882,Non-inhibitor,0.8714,Low CYP Inhibitory Promiscuity,0.9691,Non AMES toxic,0.7337,Non-carcinogens,0.9557,Not ready biodegradable,0.9746,"3.0638 LD50, mol/kg",Not applicable,Weak inhibitor,0.9402,Non-inhibitor,0.9279
DB04890,0.0503 mg/mL,0.55,-3.9,4.1,9.39,0,5,1,62.66 Å2,8,105.1 m3·mol-1,42.18 Å3,3,1,Yes,Yes,No,Yes,+,0.9205,-,0.5488,-,0.5304,Substrate,0.6552,Inhibitor,0.8159,Inhibitor,0.7308,Inhibitor,0.5948,Non-substrate,0.7907,Non-substrate,0.7496,Non-substrate,0.5729,Non-inhibitor,0.8235,Non-inhibitor,0.8817,Non-inhibitor,0.8289,Non-inhibitor,0.8369,Non-inhibitor,0.8711,Low CYP Inhibitory Promiscuity,0.6461,Non AMES toxic,0.8246,Non-carcinogens,0.9647,Not ready biodegradable,0.9929,"2.7211 LD50, mol/kg",Not applicable,Weak inhibitor,0.6558,Inhibitor,0.6222
DB00502,0.00446 mg/mL,3.66,-4.9,13.96,8.05,1,3,1,40.54 Å2,6,102.59 m3·mol-1,39.15 Å3,3,1,Yes,Yes,No,Yes,+,1.0,+,0.9465,+,0.6023,Substrate,0.6673,Inhibitor,0.8563,Inhibitor,0.8137,Inhibitor,0.6058,Non-substrate,0.8355,Substrate,0.8919,Substrate,0.5796,Non-inhibitor,0.9045,Non-inhibitor,0.9207,Inhibitor,0.9197,Non-inhibitor,0.9248,Inhibitor,0.6899,Low CYP Inhibitory Promiscuity,0.7933,Non AMES toxic,0.9133,Non-carcinogens,0.8769,Not ready biodegradable,1.0,"3.4367 LD50, mol/kg",Not applicable,Weak inhibitor,0.5,Inhibitor,0.7474
DB11837,0.356 mg/mL,2.11,-2.8,,7.15,1,2,0,41.61 Å2,1,62.07 m3·mol-1,22.53 Å3,3,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02726,18.4 mg/mL,-1.2,-0.93,1.14,,-3,5,3,104.06 Å2,3,25.22 m3·mol-1,10.67 Å3,0,1,Yes,No,No,No,-,0.8895,+,0.938,-,0.761,Non-substrate,0.7748,Non-inhibitor,0.9218,Non-inhibitor,0.9682,Non-inhibitor,0.9571,Non-substrate,0.8404,Non-substrate,0.8621,Non-substrate,0.6975,Non-inhibitor,0.9397,Non-inhibitor,0.9344,Non-inhibitor,0.9295,Non-inhibitor,0.9288,Non-inhibitor,0.9725,Low CYP Inhibitory Promiscuity,0.9918,Non AMES toxic,0.8514,Non-carcinogens,0.6677,Ready biodegradable,0.5716,"1.8094 LD50, mol/kg",Not applicable,Weak inhibitor,0.9836,Non-inhibitor,0.9378
DB00521,0.421 mg/mL,1.42,-2.8,13.41,9.76,1,4,3,70.59 Å2,6,83.14 m3·mol-1,32.79 Å3,2,1,Yes,Yes,No,No,+,0.9157,-,0.5578,-,0.6897,Substrate,0.9025,Non-inhibitor,0.6539,Non-inhibitor,0.9197,Non-inhibitor,0.8058,Non-substrate,0.7911,Substrate,0.8919,Substrate,0.59,Non-inhibitor,0.9046,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.7633,Non AMES toxic,0.8024,Non-carcinogens,0.9099,Not ready biodegradable,1.0,"2.4801 LD50, mol/kg",Not applicable,Weak inhibitor,0.9902,Non-inhibitor,0.5237
DB00524,0.0407 mg/mL,2.94,-4,9.54,-1.6,0,4,2,92.5 Å2,2,94.59 m3·mol-1,36.38 Å3,3,1,Yes,Yes,No,No,+,0.9972,+,0.5944,-,0.8957,Non-substrate,0.7578,Non-inhibitor,0.8113,Non-inhibitor,0.5921,Non-inhibitor,0.9223,Non-substrate,0.6466,Non-substrate,0.8279,Non-substrate,0.579,Non-inhibitor,0.9045,Non-inhibitor,0.907,Non-inhibitor,0.923,Non-inhibitor,0.9025,Non-inhibitor,0.831,Low CYP Inhibitory Promiscuity,0.5788,Non AMES toxic,0.8234,Non-carcinogens,0.7193,Not ready biodegradable,0.9961,"1.8955 LD50, mol/kg",Not applicable,Weak inhibitor,0.9922,Non-inhibitor,0.8735
DB00526,27.5 mg/mL,-0.47,-1.2,,,0,0,0,85.82 Å2,0,67.52 m3·mol-1,21.9 Å3,3,1,No,No,No,No,+,0.8638,+,0.7667,-,0.6453,Substrate,0.5056,Non-inhibitor,0.9332,Non-inhibitor,1.0,Non-inhibitor,0.9289,Non-substrate,0.8846,Non-substrate,0.8094,Non-substrate,0.6064,Non-inhibitor,0.8403,Non-inhibitor,0.8686,Non-inhibitor,0.8997,Non-inhibitor,0.8189,Non-inhibitor,0.8337,Low CYP Inhibitory Promiscuity,0.9872,Non AMES toxic,0.6034,Non-carcinogens,0.938,Not ready biodegradable,0.9796,"2.3765 LD50, mol/kg",Not applicable,Weak inhibitor,0.8879,Non-inhibitor,0.938
DB04938,0.000526 mg/mL,5.56,-5.9,15.1,-2.8,0,2,1,29.46 Å2,8,121.68 m3·mol-1,41.97 Å3,3,1,No,Yes,Yes,Yes,+,0.9972,+,0.7095,+,0.6894,Non-substrate,0.587,Inhibitor,0.7541,Inhibitor,0.5935,Non-inhibitor,0.6587,Non-substrate,0.7712,Non-substrate,0.8459,Non-substrate,0.5552,Non-inhibitor,0.5168,Non-inhibitor,0.7604,Non-inhibitor,0.8754,Inhibitor,0.5512,Non-inhibitor,0.7578,High CYP Inhibitory Promiscuity,0.6072,Non AMES toxic,0.597,Non-carcinogens,0.767,Not ready biodegradable,0.5073,"2.3083 LD50, mol/kg",Not applicable,Weak inhibitor,0.5657,Non-inhibitor,0.6556
DB14512,0.0108 mg/mL,5.06,-4.7,13.84,-3.1,0,4,1,93.81 Å2,5,132.5 m3·mol-1,52.31 Å3,5,0,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14514,1.22 mg/mL,-0.069,-2.3,4.32,-7.3,-1,3,0,57.2 Å2,6,37.93 m3·mol-1,10.79 Å3,0,1,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00539,0.000409 mg/mL,6.27,-6,,8.76,1,2,0,12.47 Å2,9,133.41 m3·mol-1,46.49 Å3,3,1,No,No,Yes,Yes,+,1.0,+,0.7488,+,0.8266,Substrate,0.7067,Inhibitor,0.79,Non-inhibitor,0.5917,Inhibitor,0.7552,Non-substrate,0.7502,Non-substrate,0.759,Substrate,0.7574,Inhibitor,0.8683,Non-inhibitor,0.882,Inhibitor,0.7217,Non-inhibitor,0.7443,Non-inhibitor,0.8824,High CYP Inhibitory Promiscuity,0.5128,Non AMES toxic,0.7545,Non-carcinogens,0.616,Not ready biodegradable,0.9601,"2.3467 LD50, mol/kg",Not applicable,Strong inhibitor,0.7708,Inhibitor,0.5086
DB04980,0.0214 mg/mL,5.85,-4.6,11.81,4.98,0,8,4,203.02 Å2,17,216.44 m3·mol-1,90.31 Å3,6,0,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14538,0.00526 mg/mL,2.86,-4.9,14.81,-2.8,0,5,1,106.97 Å2,7,120.33 m3·mol-1,49.74 Å3,4,1,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14539,0.0582 mg/mL,1.72,-3.8,12.61,-2.8,0,5,2,100.9 Å2,4,106.55 m3·mol-1,43.82 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14540,0.0136 mg/mL,2.86,-4.5,13.75,-2.8,0,5,2,100.9 Å2,6,115.78 m3·mol-1,47.74 Å3,4,1,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14541,0.00326 mg/mL,4.02,-5.2,12.61,-2.8,0,5,2,100.9 Å2,7,132.33 m3·mol-1,54.76 Å3,5,1,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00564,0.152 mg/mL,2.77,-3.2,15.96,-3.8,0,1,1,46.33 Å2,0,71.89 m3·mol-1,25 Å3,3,1,Yes,Yes,No,No,+,0.9962,+,0.9958,+,0.6538,Non-substrate,0.6466,Non-inhibitor,0.8748,Non-inhibitor,0.8381,Non-inhibitor,0.8177,Non-substrate,0.7466,Substrate,0.884,Non-substrate,0.6204,Non-inhibitor,0.9045,Non-inhibitor,0.907,Non-inhibitor,0.9232,Non-inhibitor,0.9025,Non-inhibitor,0.8222,High CYP Inhibitory Promiscuity,0.7358,Non AMES toxic,0.5554,Non-carcinogens,0.8848,Not ready biodegradable,0.978,"2.1131 LD50, mol/kg",Not applicable,Weak inhibitor,0.9653,Non-inhibitor,0.8734
DB14542,0.73 mg/mL,1.15,-2.8,1.18,-2.8,-2,7,4,141.36 Å2,4,108.27 m3·mol-1,44.37 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14543,0.00283 mg/mL,4,-5.2,14.81,-2.8,0,5,1,106.97 Å2,9,129.56 m3·mol-1,53.93 Å3,4,1,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14544,0.00763 mg/mL,3.31,-4.8,13.75,-2.8,0,5,2,100.9 Å2,7,120.38 m3·mol-1,50.08 Å3,4,1,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14545,0.0653 mg/mL,1.54,-3.8,3.66,-2.8,-1,7,3,138.2 Å2,7,117.44 m3·mol-1,48.68 Å3,4,1,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00571,0.0794 mg/mL,2.58,-3.5,14.09,9.67,1,3,2,41.49 Å2,6,76.83 m3·mol-1,29.98 Å3,2,1,Yes,Yes,No,No,+,0.9944,-,0.9031,+,0.6942,Substrate,0.7079,Inhibitor,0.5588,Non-inhibitor,0.8383,Non-inhibitor,0.8177,Non-substrate,0.7898,Substrate,0.8918,Non-substrate,0.6463,Inhibitor,0.9106,Non-inhibitor,0.9071,Inhibitor,0.8932,Non-inhibitor,0.9026,Non-inhibitor,0.924,Low CYP Inhibitory Promiscuity,0.8487,Non AMES toxic,0.9392,Non-carcinogens,0.9097,Not ready biodegradable,0.9871,"2.5625 LD50, mol/kg",Not applicable,Weak inhibitor,0.9185,Inhibitor,0.7092
DB00574,0.0215 mg/mL,3.47,-4,,10.22,1,1,1,12.03 Å2,5,59.2 m3·mol-1,22.69 Å3,1,1,Yes,Yes,Yes,No,+,1.0,+,0.9868,+,0.7004,Non-substrate,0.5138,Non-inhibitor,0.5934,Non-inhibitor,0.8383,Non-inhibitor,0.7404,Non-substrate,0.8506,Substrate,0.8919,Non-substrate,0.6781,Inhibitor,0.8859,Non-inhibitor,0.8616,Inhibitor,0.7253,Non-inhibitor,0.5205,Non-inhibitor,0.5219,Low CYP Inhibitory Promiscuity,0.6657,Non AMES toxic,0.8808,Non-carcinogens,0.6397,Not ready biodegradable,0.984,"3.1255 LD50, mol/kg",Not applicable,Weak inhibitor,0.9666,Inhibitor,0.7811
DB11921,0.0175 mg/mL,1.8,-4.4,14.74,0.48,0,5,1,102.26 Å2,4,117.12 m3·mol-1,46.79 Å3,5,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14574,0.0 mg/mL,0.23,1.08,,,0,0,0,0 Å2,0,0 m3·mol-1,1.78 Å3,0,1,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00588,0.0114 mg/mL,3.72,-4.6,13.61,-3.4,0,4,1,80.67 Å2,6,121.65 m3·mol-1,49.29 Å3,4,1,No,No,No,Yes,+,0.9964,+,0.9701,+,0.5417,Substrate,0.7099,Inhibitor,0.7192,Non-inhibitor,0.8636,Non-inhibitor,0.8689,Non-substrate,0.868,Non-substrate,0.9116,Substrate,0.7407,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Inhibitor,0.8988,Low CYP Inhibitory Promiscuity,0.8682,Non AMES toxic,0.798,Non-carcinogens,0.8901,Not ready biodegradable,1.0,"2.3753 LD50, mol/kg",Not applicable,Weak inhibitor,0.99,Non-inhibitor,0.6125
DB05039,0.00798 mg/mL,3.26,-4.7,8.51,9.71,1,4,4,81.59 Å2,6,118.1 m3·mol-1,44.96 Å3,4,1,Yes,Yes,No,Yes,+,0.9963,+,0.5,-,0.6288,Substrate,0.6953,Non-inhibitor,0.9284,Non-inhibitor,0.9178,Non-inhibitor,0.8838,Non-substrate,0.8148,Non-substrate,0.6907,Substrate,0.5896,Inhibitor,0.553,Non-inhibitor,0.56,Non-inhibitor,0.8547,Non-inhibitor,0.5581,Non-inhibitor,0.6546,Low CYP Inhibitory Promiscuity,0.5888,Non AMES toxic,0.7577,Non-carcinogens,0.8559,Not ready biodegradable,0.9856,"2.6531 LD50, mol/kg",Not applicable,Weak inhibitor,0.9657,Inhibitor,0.6406
