DrugBank ID,Description,Kingdom,Super Class,Class,Sub Class,Direct Parent,Alternative Parents,Substituents,Molecular Framework,External Descriptors
DB00621,This compound belongs to the class of organic compounds known as steroid lactones. These are sterol lipids containing a lactone moiety linked to the steroid skeleton.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid lactones,Steroid lactones,"['17-hydroxysteroids', '3-oxo-5-alpha-steroids', 'Oxasteroids and derivatives', 'Naphthopyrans', 'Naphthalenes', 'Delta valerolactones', 'Pyrans', 'Oxanes', 'Tertiary alcohols', 'Cyclic alcohols and derivatives', 'Carboxylic acid esters', 'Monocarboxylic acids and derivatives', 'Oxacyclic compounds', 'Hydrocarbon derivatives', 'Carbonyl compounds', 'Organic oxides']","['17-hydroxysteroid', '2-oxasteroid', '3-oxo-5-alpha-steroid', '3-oxosteroid', 'Alcohol', 'Aliphatic heteropolycyclic compound', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic alcohol', 'Delta valerolactone', 'Delta_valerolactone', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Lactone', 'Monocarboxylic acid or derivatives', 'Naphthalene', 'Naphthopyran', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organooxygen compound', 'Oxacycle', 'Oxane', 'Oxosteroid', 'Pyran', 'Steroid lactone', 'Tertiary alcohol']",Aliphatic heteropolycyclic compounds,"3-oxo steroid, 17beta-hydroxy steroid, anabolic androgenic steroid, oxa-steroid (CHEBI:7820)  / Androstane and derivatives (C07346)"
DB14643,"This compound belongs to the class of organic compounds known as gluco/mineralocorticoids, progestogins and derivatives. These are steroids with a structure based on a hydroxylated prostane moiety.",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,"Gluco/mineralocorticoids, progestogins and derivatives","['Steroid esters', '20-oxosteroids', '3-oxo delta-1,4-steroids', '11-beta-hydroxysteroids', 'Delta-1,4-steroids', 'Alpha-acyloxy ketones', 'Dicarboxylic acids and derivatives', 'Secondary alcohols', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Carboxylic acid esters', 'Organic oxides', 'Hydrocarbon derivatives']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '20-oxosteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alpha-acyloxy ketone', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Dicarboxylic acid or derivatives', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketone', 'Organic oxide', 'Organic oxygen compound', 'Organooxygen compound', 'Oxosteroid', 'Progestogin-skeleton', 'Secondary alcohol', 'Steroid ester']",Aliphatic homopolycyclic compounds,Not Available
DB00624,This compound belongs to the class of organic compounds known as androgens and derivatives. These are 3-hydroxylated C19 steroid hormones. They are known to favor the development of masculine characteristics. They also show profound effects on scalp and body hair in humans.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,"['3-oxo delta-4-steroids', '17-hydroxysteroids', 'Delta-4-steroids', 'Cyclohexenones', 'Secondary alcohols', 'Cyclic alcohols and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['17-hydroxysteroid', '3-oxo-delta-4-steroid', '3-oxosteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Androgen-skeleton', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Cyclohexenone']",Aliphatic homopolycyclic compounds,"3-oxo steroid, 17beta-hydroxy steroid, androstanoid (CHEBI:17347)  / androstane, C19 steroids (androgens) and derivatives, Androstane and derivatives, Androgens (C00535)  / C19 steroids (androgens) and derivatives (LMST02020002)"
DB14644,,,,,,,,,,
DB14646,"This compound belongs to the class of organic compounds known as gluco/mineralocorticoids, progestogins and derivatives. These are steroids with a structure based on a hydroxylated prostane moiety.",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,"Gluco/mineralocorticoids, progestogins and derivatives","['20-oxosteroids', '3-oxo delta-1,4-steroids', '17-hydroxysteroids', '11-oxosteroids', 'Delta-1,4-steroids', 'Alpha-acyloxy ketones', 'Tertiary alcohols', 'Alpha-hydroxy ketones', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Carboxylic acid esters', 'Monocarboxylic acids and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['11-oxosteroid', '17-hydroxysteroid', '20-oxosteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alpha-acyloxy ketone', 'Alpha-hydroxy ketone', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketone', 'Monocarboxylic acid or derivatives', 'Organic oxide', 'Organic oxygen compound', 'Organooxygen compound', 'Oxosteroid', 'Progestogin-skeleton', 'Tertiary alcohol']",Aliphatic homopolycyclic compounds,"acetate ester, 17alpha-hydroxy steroid, steroid ester, 20-oxo steroid, 3-oxo-Delta(1),Delta(4)-steroid, 11-oxo steroid (CHEBI:34655)"
DB14649,"This compound belongs to the class of organic compounds known as gluco/mineralocorticoids, progestogins and derivatives. These are steroids with a structure based on a hydroxylated prostane moiety.",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,"Gluco/mineralocorticoids, progestogins and derivatives","['20-oxosteroids', '11-beta-hydroxysteroids', '17-hydroxysteroids', 'Halogenated steroids', '3-oxo delta-1,4-steroids', 'Delta-1,4-steroids', 'Alpha-acyloxy ketones', 'Tertiary alcohols', 'Alpha-hydroxy ketones', 'Secondary alcohols', 'Fluorohydrins', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Carboxylic acid esters', 'Monocarboxylic acids and derivatives', 'Alkyl fluorides', 'Hydrocarbon derivatives', 'Organic oxides', 'Organofluorides']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '17-hydroxysteroid', '20-oxosteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '9-halo-steroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alkyl fluoride', 'Alkyl halide', 'Alpha-acyloxy ketone', 'Alpha-hydroxy ketone', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Fluorohydrin', 'Halo-steroid', 'Halohydrin', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketone', 'Monocarboxylic acid or derivatives', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organooxygen compound', 'Oxosteroid', 'Progestogin-skeleton', 'Secondary alcohol', 'Tertiary alcohol']",Aliphatic homopolycyclic compounds,corticosteroid hormone (CHEBI:4463)
DB14655,This compound belongs to the class of organic compounds known as steroid esters. These are compounds containing a steroid moiety which bears a carboxylic acid ester group.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,Steroid esters,"['Androgens and derivatives', '3-oxo-5-alpha-steroids', 'Cyclic ketones', 'Carboxylic acid esters', 'Monocarboxylic acids and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['3-oxo-5-alpha-steroid', '3-oxosteroid', 'Aliphatic homopolycyclic compound', 'Androgen-skeleton', 'Androstane-skeleton', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic ketone', 'Hydrocarbon derivative']",Aliphatic homopolycyclic compounds,steroid ester (CHEBI:31523)
DB00635,This compound belongs to the class of organic compounds known as 21-hydroxysteroids. These are steroids carrying a hydroxyl group at the 21-position of the steroid backbone.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,"['Gluco/mineralocorticoids, progestogins and derivatives', '20-oxosteroids', '3-oxo delta-1,4-steroids', '17-hydroxysteroids', '11-oxosteroids', 'Delta-1,4-steroids', 'Tertiary alcohols', 'Alpha-hydroxy ketones', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Primary alcohols', 'Organic oxides', 'Hydrocarbon derivatives']","['11-oxosteroid', '17-hydroxysteroid', '20-oxosteroid', '21-hydroxysteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alpha-hydroxy ketone', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Hydrocarbon derivative', 'Ketone', 'Organic oxide', 'Organic oxygen compound', 'Organooxygen compound', 'Oxosteroid', 'Pregnane-skeleton', 'Primary alcohol', 'Progestogin-skeleton', 'Tertiary alcohol']",Aliphatic homopolycyclic compounds,"17alpha-hydroxy steroid, glucocorticoid, 20-oxo steroid, 3-oxo-Delta(1),Delta(4)-steroid, 11-oxo steroid, 21-hydroxy steroid (CHEBI:8382)  / Pregnane and derivatives [Fig] (C07370)  / C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives (LMST02030180)"
DB05107,This compound belongs to the class of organic compounds known as androgens and derivatives. These are 3-hydroxylated C19 steroid hormones. They are known to favor the development of masculine characteristics. They also show profound effects on scalp and body hair in humans.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,"['Halogenated steroids', '3-beta-hydroxysteroids', '17-oxosteroids', 'Alpha-haloketones', 'Secondary alcohols', 'Cyclic alcohols and derivatives', 'Organobromides', 'Organic oxides', 'Hydrocarbon derivatives', 'Alkyl bromides']","['16-halo-steroid', '17-oxosteroid', '3-beta-hydroxysteroid', '3-hydroxysteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alkyl bromide', 'Alkyl halide', 'Alpha-haloketone', 'Androgen-skeleton']",Aliphatic homopolycyclic compounds,Not Available
DB14660,This compound belongs to the class of organic compounds known as steroid esters. These are compounds containing a steroid moiety which bears a carboxylic acid ester group.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,Steroid esters,"['Estrogens and derivatives', '3-oxosteroids', 'Cyclohexenones', 'Carboxylic acid esters', 'Monocarboxylic acids and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['3-oxosteroid', 'Aliphatic homopolycyclic compound', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic ketone', 'Cyclohexenone', 'Estrane-skeleton', 'Estrogen-skeleton', 'Hydrocarbon derivative']",Aliphatic homopolycyclic compounds,Not Available
DB14662,"This compound belongs to the class of organic compounds known as gluco/mineralocorticoids, progestogins and derivatives. These are steroids with a structure based on a hydroxylated prostane moiety.",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,"Gluco/mineralocorticoids, progestogins and derivatives","['20-oxosteroids', '11-beta-hydroxysteroids', '3-oxo delta-1,4-steroids', 'Halogenated steroids', 'Delta-1,4-steroids', 'Ketals', 'Alpha-acyloxy ketones', '1,3-dioxolanes', 'Secondary alcohols', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Carboxylic acid esters', 'Oxacyclic compounds', 'Monocarboxylic acids and derivatives', 'Organofluorides', 'Organic oxides', 'Alkyl fluorides', 'Hydrocarbon derivatives']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '20-oxosteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '6-halo-steroid', 'Acetal', 'Alcohol', 'Aliphatic heteropolycyclic compound', 'Alkyl fluoride', 'Alkyl halide', 'Alpha-acyloxy ketone', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Halo-steroid', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketal', 'Ketone', 'Meta-dioxolane', 'Monocarboxylic acid or derivatives', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organoheterocyclic compound', 'Organooxygen compound', 'Oxacycle', 'Oxosteroid', 'Progestogin-skeleton', 'Secondary alcohol']",Aliphatic heteropolycyclic compounds,Not Available
DB00644,This compound belongs to the class of organic compounds known as polypeptides. These are peptides containing ten or more amino acid residues.,Organic compounds,Organic Polymers,Polypeptides,Not Available,Polypeptides,"['Peptides', 'Tyrosine and derivatives', 'Phenylalanine and derivatives', 'Histidine and derivatives', 'Leucine and derivatives', 'N-acyl-alpha amino acids and derivatives', 'Proline and derivatives', 'Tryptamines and derivatives', 'Serine and derivatives', 'Alpha amino acid amides', 'Amphetamines and derivatives', '3-alkylindoles', 'N-acylpyrrolidines', 'Pyrrolidinecarboxamides', '1-hydroxy-2-unsubstituted benzenoids', 'Substituted pyrroles', 'N-acyl amines', 'Pyrrolidine-2-ones', 'Tertiary carboxylic acid amides', 'Heteroaromatic compounds', 'Imidazoles', 'Secondary carboxylic acid amides', 'Guanidines', 'Primary carboxylic acid amides', 'Lactams', 'Propargyl-type 1,3-dipolar organic compounds', 'Carboximidamides', 'Azacyclic compounds', 'Hydrocarbon derivatives', 'Primary alcohols', 'Carbonyl compounds', 'Organopnictogen compounds', 'Organic oxides']","['1-hydroxy-2-unsubstituted benzenoid', '2-pyrrolidone', '3-alkylindole', 'Alcohol', 'Alpha peptide', 'Alpha-amino acid amide', 'Alpha-amino acid or derivatives', 'Amphetamine or derivatives', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Azole', 'Benzenoid', 'Carbonyl group', 'Carboxamide group', 'Carboximidamide', 'Carboxylic acid derivative', 'Fatty acyl', 'Fatty amide', 'Guanidine', 'Heteroaromatic compound', 'Histidine or derivatives', 'Hydrocarbon derivative', 'Imidazole', 'Indole', 'Indole or derivatives', 'Lactam', 'Leucine or derivatives', 'Monocyclic benzene moiety', 'N-acyl-alpha amino acid or derivatives', 'N-acyl-amine', 'N-acylpyrrolidine', 'N-substituted-alpha-amino acid', 'Organic 1,3-dipolar compound', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol', 'Phenylalanine or derivatives', 'Polypeptide', 'Primary alcohol', 'Primary carboxylic acid amide', 'Proline or derivatives', 'Propargyl-type 1,3-dipolar organic compound', 'Pyrrole', 'Pyrrolidine', 'Pyrrolidine carboxylic acid or derivatives', 'Pyrrolidine-2-carboxamide', 'Pyrrolidone', 'Secondary carboxylic acid amide', 'Serine or derivatives', 'Substituted pyrrole', 'Tertiary carboxylic acid amide', 'Triptan', 'Tyrosine or derivatives']",Aromatic heteropolycyclic compounds,Gonadotropin-releasing hormone [KO:K05252] (C07607)
DB14664,"This compound belongs to the class of organic compounds known as gluco/mineralocorticoids, progestogins and derivatives. These are steroids with a structure based on a hydroxylated prostane moiety.",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,"Gluco/mineralocorticoids, progestogins and derivatives","['20-oxosteroids', '11-beta-hydroxysteroids', '3-oxo delta-1,4-steroids', 'Halogenated steroids', 'Delta-1,4-steroids', 'Alpha-acyloxy ketones', 'Fluorohydrins', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Carboxylic acid esters', 'Secondary alcohols', 'Monocarboxylic acids and derivatives', 'Alkyl fluorides', 'Organic oxides', 'Organofluorides', 'Hydrocarbon derivatives']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '20-oxosteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '6-halo-steroid', '9-halo-steroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alkyl fluoride', 'Alkyl halide', 'Alpha-acyloxy ketone', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Fluorohydrin', 'Halo-steroid', 'Halohydrin', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketone', 'Monocarboxylic acid or derivatives', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organooxygen compound', 'Oxosteroid', 'Progestogin-skeleton', 'Secondary alcohol']",Aliphatic homopolycyclic compounds,Not Available
DB14669,"This compound belongs to the class of organic compounds known as gluco/mineralocorticoids, progestogins and derivatives. These are steroids with a structure based on a hydroxylated prostane moiety.",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,"Gluco/mineralocorticoids, progestogins and derivatives","['20-oxosteroids', '11-beta-hydroxysteroids', '17-hydroxysteroids', '3-oxo delta-1,4-steroids', 'Halogenated steroids', 'Delta-1,4-steroids', 'Glycerone phosphates', 'Monoalkyl phosphates', 'Tertiary alcohols', 'Alpha-hydroxy ketones', 'Secondary alcohols', 'Fluorohydrins', 'Cyclic alcohols and derivatives', 'Cyclic ketones', 'Alkyl fluorides', 'Organofluorides', 'Organic oxides', 'Hydrocarbon derivatives']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '17-hydroxysteroid', '20-oxosteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '9-halo-steroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alkyl fluoride', 'Alkyl halide', 'Alkyl phosphate', 'Alpha-hydroxy ketone', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Fluorohydrin', 'Glycerone phosphate', 'Halo-steroid', 'Halohydrin', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketone', 'Monoalkyl phosphate', 'Organic oxide', 'Organic oxygen compound', 'Organic phosphoric acid derivative', 'Organofluoride', 'Organohalogen compound', 'Organooxygen compound', 'Oxosteroid', 'Phosphoric acid ester', 'Progestogin-skeleton', 'Secondary alcohol', 'Tertiary alcohol']",Aliphatic homopolycyclic compounds,"11beta-hydroxy steroid, 17alpha-hydroxy steroid, 20-oxo steroid, steroid phosphate, fluorinated steroid, 3-oxo-Delta(1),Delta(4)-steroid (CHEBI:68603)"
DB00652,,,,,,,,,,
DB14681,,,,,,,,,,
DB00666,This compound belongs to the class of organic compounds known as polypeptides. These are peptides containing ten or more amino acid residues.,Organic compounds,Organic Polymers,Polypeptides,Not Available,Polypeptides,"['Peptides', 'Tyrosine and derivatives', 'Phenylalanine and derivatives', 'Histidine and derivatives', 'Leucine and derivatives', 'N-acyl-alpha amino acids and derivatives', 'Proline and derivatives', 'Alpha amino acid amides', 'Serine and derivatives', 'Tryptamines and derivatives', 'Amphetamines and derivatives', 'Naphthalenes', '3-alkylindoles', 'N-acylpyrrolidines', 'Pyrrolidinecarboxamides', '1-hydroxy-2-unsubstituted benzenoids', 'Pyrrolidine-2-ones', 'Substituted pyrroles', 'N-acyl amines', 'Tertiary carboxylic acid amides', 'Heteroaromatic compounds', 'Imidazoles', 'Secondary carboxylic acid amides', 'Guanidines', 'Primary carboxylic acid amides', 'Lactams', 'Propargyl-type 1,3-dipolar organic compounds', 'Carboximidamides', 'Azacyclic compounds', 'Hydrocarbon derivatives', 'Primary alcohols', 'Carbonyl compounds', 'Organopnictogen compounds', 'Organic oxides']","['1-hydroxy-2-unsubstituted benzenoid', '2-pyrrolidone', '3-alkylindole', 'Alcohol', 'Alpha peptide', 'Alpha-amino acid amide', 'Alpha-amino acid or derivatives', 'Amphetamine or derivatives', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Azole', 'Benzenoid', 'Carbonyl group', 'Carboxamide group', 'Carboximidamide', 'Carboxylic acid derivative', 'Fatty acyl', 'Fatty amide', 'Guanidine', 'Heteroaromatic compound', 'Histidine or derivatives', 'Hydrocarbon derivative', 'Imidazole', 'Indole', 'Indole or derivatives', 'Lactam', 'Leucine or derivatives', 'Monocyclic benzene moiety', 'N-acyl-alpha amino acid or derivatives', 'N-acyl-amine', 'N-acylpyrrolidine', 'N-substituted-alpha-amino acid', 'Naphthalene', 'Organic 1,3-dipolar compound', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol', 'Phenylalanine or derivatives', 'Polypeptide', 'Primary alcohol', 'Primary carboxylic acid amide', 'Proline or derivatives', 'Propargyl-type 1,3-dipolar organic compound', 'Pyrrole', 'Pyrrolidine', 'Pyrrolidine carboxylic acid or derivatives', 'Pyrrolidine-2-carboxamide', 'Pyrrolidone', 'Secondary carboxylic acid amide', 'Serine or derivatives', 'Substituted pyrrole', 'Tertiary carboxylic acid amide', 'Triptan', 'Tyrosine or derivatives']",Aromatic heteropolycyclic compounds,Not Available
DB00668,"This compound belongs to the class of organic compounds known as catechols. These are compounds containing a 1,2-benzenediol moiety.",Organic compounds,Benzenoids,Phenols,Benzenediols,Catechols,"['Aralkylamines', '1-hydroxy-4-unsubstituted benzenoids', '1-hydroxy-2-unsubstituted benzenoids', 'Benzene and substituted derivatives', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Organopnictogen compounds', 'Hydrocarbon derivatives', 'Aromatic alcohols']","['1,2-aminoalcohol', '1-hydroxy-2-unsubstituted benzenoid', '1-hydroxy-4-unsubstituted benzenoid', 'Alcohol', 'Amine', 'Aralkylamine', 'Aromatic alcohol', 'Aromatic homomonocyclic compound', 'Catechol', 'Hydrocarbon derivative']",Aromatic homomonocyclic compounds,"adrenaline (CHEBI:28918)  / Biogenic amines, Adrenalines (C00788)"
DB14703,,,,,,,,,,
DB00675,"This compound belongs to the class of organic compounds known as stilbenes. These are organic compounds containing a 1,2-diphenylethylene moiety. Stilbenes (C6-C2-C6 ) are derived from the common phenylpropene (C6-C3) skeleton building block. The introduction of one or more hydroxyl groups to a phenyl ring lead to stilbenoids.",Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Not Available,Stilbenes,"['Diphenylmethanes', 'Phenylpropanes', 'Phenoxy compounds', 'Phenol ethers', 'Alkyl aryl ethers', 'Trialkylamines', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['Alkyl aryl ether', 'Amine', 'Aromatic homomonocyclic compound', 'Benzenoid', 'Diphenylmethane', 'Ether', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'Organic nitrogen compound', 'Organic oxygen compound']",Aromatic homomonocyclic compounds,"tertiary amino compound, stilbenoid (CHEBI:41774)"
DB00687,This compound belongs to the class of organic compounds known as 21-hydroxysteroids. These are steroids carrying a hydroxyl group at the 21-position of the steroid backbone.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,"['Gluco/mineralocorticoids, progestogins and derivatives', '20-oxosteroids', '11-beta-hydroxysteroids', '17-hydroxysteroids', '3-oxo delta-4-steroids', 'Halogenated steroids', 'Delta-4-steroids', 'Cyclohexenones', 'Tertiary alcohols', 'Alpha-hydroxy ketones', 'Secondary alcohols', 'Fluorohydrins', 'Cyclic alcohols and derivatives', 'Alkyl fluorides', 'Hydrocarbon derivatives', 'Organic oxides', 'Organofluorides', 'Primary alcohols']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '17-hydroxysteroid', '20-oxosteroid', '21-hydroxysteroid', '3-oxo-delta-4-steroid', '3-oxosteroid', '9-halo-steroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alkyl fluoride', 'Alkyl halide', 'Alpha-hydroxy ketone', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Cyclohexenone', 'Delta-4-steroid', 'Fluorohydrin', 'Halo-steroid', 'Halohydrin', 'Hydrocarbon derivative', 'Ketone', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organooxygen compound', 'Oxosteroid', 'Pregnane-skeleton', 'Primary alcohol', 'Progestogin-skeleton', 'Secondary alcohol', 'Tertiary alcohol']",Aliphatic homopolycyclic compounds,"11beta-hydroxy steroid, 17alpha-hydroxy steroid, 3-oxo Delta(4)-steroid, 20-oxo steroid, fluorinated steroid, mineralocorticoid, 21-hydroxy steroid, C21-steroid (CHEBI:50885)  / C21 steroids (gluco/mineralocorticoids, progestogens) and derivatives (C07004)  / C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives (LMST02030103)"
DB00695,This compound belongs to the class of organic compounds known as aminobenzenesulfonamides. These are organic compounds containing a benzenesulfonamide moiety with an amine group attached to the benzene ring.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Aminobenzenesulfonamides,"['4-halobenzoic acids', 'Aminobenzoic acids', 'Halobenzoic acids', 'Benzenesulfonyl compounds', 'Benzoic acids', 'Aniline and substituted anilines', 'Benzoyl derivatives', 'Phenylalkylamines', 'Secondary alkylarylamines', 'Chlorobenzenes', 'Organosulfonamides', 'Aryl chlorides', 'Furans', 'Vinylogous amides', 'Aminosulfonyl compounds', 'Heteroaromatic compounds', 'Amino acids', 'Monocarboxylic acids and derivatives', 'Carboxylic acids', 'Oxacyclic compounds', 'Organic oxides', 'Organochlorides', 'Organooxygen compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['4-halobenzoic acid', '4-halobenzoic acid or derivatives', 'Amine', 'Amino acid', 'Amino acid or derivatives', 'Aminobenzenesulfonamide', 'Aminobenzoic acid', 'Aminobenzoic acid or derivatives', 'Aminosulfonyl compound', 'Aniline or substituted anilines', 'Aralkylamine', 'Aromatic heteromonocyclic compound', 'Aryl chloride', 'Aryl halide', 'Benzenesulfonyl group', 'Benzoic acid', 'Benzoic acid or derivatives', 'Benzoyl', 'Carboxylic acid', 'Carboxylic acid derivative', 'Chlorobenzene', 'Furan', 'Halobenzene', 'Halobenzoic acid', 'Halobenzoic acid or derivatives', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Monocarboxylic acid or derivatives', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organic sulfonic acid or derivatives', 'Organochloride', 'Organohalogen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Organosulfonic acid amide', 'Organosulfonic acid or derivatives', 'Organosulfur compound', 'Oxacycle', 'Phenylalkylamine', 'Secondary aliphatic/aromatic amine', 'Secondary amine', 'Sulfonyl', 'Vinylogous amide']",Aromatic heteromonocyclic compounds,"sulfonamide, furans, chlorobenzoic acid (CHEBI:47426)"
DB14752,,,,,,,,,,
DB14754,,,,,,,,,,
DB02924,"This compound belongs to the class of organic compounds known as oxepanes. These are compounds containing an oxepane ring, which is a seven-member saturated aliphatic heterocycle with one oxygen and six carbon atoms.",Organic compounds,Organoheterocyclic compounds,Oxepanes,Not Available,Oxepanes,"['Oxacyclic compounds', 'Epoxides', 'Dialkyl ethers', 'Hydrocarbon derivatives']","['Aliphatic heteropolycyclic compound', 'Dialkyl ether', 'Ether', 'Hydrocarbon derivative', 'Organic oxygen compound', 'Organooxygen compound', 'Oxacycle', 'Oxepane', 'Oxirane']",Aliphatic heteropolycyclic compounds,"(4R)-limonene 1,2-epoxide (CHEBI:35669)"
