DrugBank ID,Indication Type,Indication,Combined Product Details
DB01407,Used in combination to treat,Chronic lung diseases,Combination Product in combination with:Ambroxol (DB06742)
DB01407,Used in combination to treat,Chronic obstructive pulmonary disease (copd),Combination Product in combination with:Ambroxol (DB06742)
DB01410,Used in combination to manage,Asthma,Combination Product in combination with:Carmoterol (DB15784)
DB01410,Used in combination to manage,Asthma,Combination Product in combination with:Formoterol (DB00983)
DB01410,Management of,Asthma,
DB01410,Used in combination to prevent,Bronchoconstriction,Combination Product in combination with:Tiotropium (DB01409)
DB01410,Used in combination to manage,Chronic obstructive pulmonary disease (copd),Combination Product in combination with:Carmoterol (DB15784)
DB01420,Treatment of,Breast cancer,
DB01420,Symptomatic treatment of,Breast cancer,
DB01420,Treatment of,"Puberty, delayed",
DB01420,Treatment of,"Puberty, delayed",
DB01420,Treatment of,Testosterone deficiency,
DB01466,Used in combination for symptomatic treatment of,Coughing,Combination Product in combination with:Codeine (DB00318)
DB01466,Used in combination for symptomatic treatment of,Coughing,Combination Product in combination with:Codeine (DB00318)
DB08804,Adjunct therapy in management of,Osteoporosis (senile),
DB08804,Adjunct therapy in management of,Postmenopausal osteoporosis,
DB08804,Management of,Anemia of renal insufficiency,
DB01524,Used in combination for symptomatic treatment of,Hormone deficiency,"Combination Product in combination with:Thyroid, porcine (DB09100),Estrone (DB00655),Androstenedione (DB01536),Testosterone (DB00624),Pregnenolone (DB02789)"
DB01524,Used in combination for symptomatic treatment of,Ovarian function insufficiency,"Combination Product in combination with:Testosterone (DB00624),Pregnenolone (DB02789),Estrone (DB00655),Thyroid, porcine (DB09100),Androstenedione (DB01536)"
DB01524,Used in combination for symptomatic treatment of,Ovarian atrophy,"Combination Product in combination with:Thyroid, porcine (DB09100),Estrone (DB00655),Androstenedione (DB01536),Pregnenolone (DB02789),Testosterone (DB00624)"
DB01524,Used in combination for symptomatic treatment of,Hypoestrogenism,"Combination Product in combination with:Thyroid, porcine (DB09100),Testosterone (DB00624),Androstenedione (DB01536),Estrone (DB00655),Pregnenolone (DB02789)"
DB06701,Management of,Adhd,
DB01536,Used in combination to manage,Hormone deficiency,"Combination Product in combination with:Estrone (DB00655),Pregnenolone (DB02789),Testosterone (DB00624),Thyroid, porcine (DB09100),Androstenedione (DB01536),Androstenediol (DB01524)"
DB01536,Used in combination to manage,Ovarian function insufficiency,"Combination Product in combination with:Testosterone (DB00624),Estrone (DB00655),Thyroid, porcine (DB09100),Androstenediol (DB01524),Androstenedione (DB01536),Pregnenolone (DB02789)"
DB01536,Used in combination to manage,Ovarian atrophy,"Combination Product in combination with:Pregnenolone (DB02789),Estrone (DB00655),Thyroid, porcine (DB09100),Androstenediol (DB01524),Testosterone (DB00624),Androstenedione (DB01536)"
DB01536,Used in combination to manage,Hypoestrogenism,"Combination Product in combination with:Androstenedione (DB01536),Testosterone (DB00624),Androstenediol (DB01524),Thyroid, porcine (DB09100),Estrone (DB00655),Pregnenolone (DB02789)"
DB06710,Management of,Delayed puberty,
DB06710,Management of,Hypogonadotropic hypogonadism,
DB06710,Treatment of,Metastatic breast cancer,
DB06710,Treatment of,Primary hypogonadism,
DB06710,Used in combination to treat,Testosterone deficiency,Combination Product in combination with:alpha-Tocopherol acetate (DB14003)
DB06714,Symptomatic treatment of,Nasal congestion,
DB06718,Prevention of,Hereditary angioedema,
DB06719,Symptomatic treatment of,D prostate cancer,
DB06719,Treatment of,Endometriosis,
DB08906,Management of,Asthma,
DB08906,Used in combination to manage,Asthma,Combination Product in combination with:Vilanterol (DB09082)
DB08906,Used in combination to manage,Asthma,"Combination Product in combination with:Vilanterol (DB09082),Umeclidinium (DB09076)"
DB08906,Used in combination to manage,Copd,"Combination Product in combination with:Vilanterol (DB09082),Umeclidinium (DB09076)"
DB08906,Used in combination to manage,Copd,Combination Product in combination with:Vilanterol (DB09082)
DB01577,Management of,Attention deficit hyperactivity disorder,
DB01577,Management of,Narcolepsy,
DB01577,Management of,Refractory exogenous obesity,
DB01579,Management of,Exogenous obesity,
DB06788,Symptomatic treatment of,Advanced prostate cancer,
DB06788,Management of,Central precocious puberty,
DB13074,Diagnostic agent,Adult growth hormone deficiency,
DB08971,Treatment of,Skin inflammation,
DB06825,Symptomatic treatment of,Advanced prostate cancer,
DB08985,Treatment of,Orthostatic hypotension,
DB13139,Treatment of,Bronchospasm,
DB13139,Treatment of,Bronchospasm,
DB13139,Prophylaxis of,Bronchospasm,
DB01708,Treatment of,Moderate dyspareunia,
DB01708,Treatment of,Severe dyspareunia,
DB09069,Treatment of,Angina pectoris,
DB09069,Treatment of,Angina pectoris,
DB09069,Treatment of,Angina pectoris,
DB09069,Used as adjunct in combination for symptomatic treatment of,Chronic stable angina pectoris,
DB09069,Treatment of,Tinnitus,
DB09070,Treatment of,Vasomotor symptoms associated with menopause,
DB09080,Used in combination to manage,Chronic obstructive pulmonary disease,Combination Product in combination with:Tiotropium (DB01409)
DB09080,Management of,Chronic obstructive pulmonary disease,
DB09082,Used in combination to manage,Asthma,Combination Product in combination with:Fluticasone furoate (DB08906)
DB09082,Used in combination to manage,Asthma,"Combination Product in combination with:Fluticasone furoate (DB08906),Umeclidinium (DB09076)"
DB09082,Used in combination to manage,Chronic obstructive pulmonary disease,Combination Product in combination with:Umeclidinium (DB09076)
DB09082,Used in combination to manage,Chronic obstructive pulmonary disease,Combination Product in combination with:Fluticasone furoate (DB08906)
DB09082,Used in combination to manage,Chronic obstructive pulmonary disease (copd),"Combination Product in combination with:Umeclidinium (DB09076),Fluticasone furoate (DB08906)"
DB09095,Used in combination to treat,Gingivitis,Combination Product in combination with:Josamycin (DB01321)
DB09095,Used in combination to treat,Infectious periodontal diseases,Combination Product in combination with:Josamycin (DB01321)
DB09095,Used in combination to treat,Periodontitis,Combination Product in combination with:Josamycin (DB01321)
DB09095,Used in combination for symptomatic treatment of,Skin inflammation,Combination Product in combination with:Isoconazole (DB08943)
DB09095,Used in combination to treat,Stomatitis,Combination Product in combination with:Josamycin (DB01321)
DB16629,Used in combination to treat,Attention deficit hyperactivity disorder (adhd),Combination Product in combination with:Dexmethylphenidate (DB06701)
DB01839,Prophylaxis of,Dry eyes,
DB01839,Symptomatic treatment of,Dry eyes,
DB01839,Used in combination for symptomatic treatment of,Dry eyes,"Combination Product in combination with:Hyaluronic acid (DB08818),Polyethylene glycol 400 (DB11077)"
DB01839,Used in combination for symptomatic treatment of,Dry eyes,Combination Product in combination with:Polyethylene glycol 400 (DB11077)
DB01839,Used in combination to manage,Dry eyes,Combination Product in combination with:Glycerin (DB09462)
DB16826,Treatment of,Locally advanced or metastatic non-small cell lung cancer,
DB09255,Used in combination to treat,Blood circulation disorder,Combination Product in combination with:D-glucose (DB01914)
DB09255,Used in combination to treat,Capillary disorder,Combination Product in combination with:D-glucose (DB01914)
DB09255,Used in combination to treat,Dry eyes,"Combination Product in combination with:Glycine (DB00145),Hypromellose (DB11075)"
DB09255,Symptomatic treatment of,Dry eyes,
DB09255,Symptomatic treatment of,Eye irritation,
DB09287,Used in combination to treat,Chronic constipation,"Combination Product in combination with:Sodium bicarbonate (DB01390),Potassium chloride (DB00761),Sodium chloride (DB09153)"
DB09287,Treatment of,Constipation,
DB09287,Used in combination for symptomatic treatment of,Constipation,"Combination Product in combination with:Citric acid (DB04272),Potassium chloride (DB00761),Sodium chloride (DB09153),Sodium citrate (DB09154)"
DB09287,Used in combination for symptomatic treatment of,Dry eye syndrome (des),Combination Product in combination with:Propylene glycol (DB01839)
DB09287,Used in combination for symptomatic treatment of,Dry eyes,Combination Product in combination with:Propylene glycol (DB01839)
DB09571,Symptomatic treatment of,Nasal congestion,
DB11077,Treatment of,Constipation,
DB11077,Symptomatic treatment of,Dry eyes,
DB11124,Symptomatic treatment of,Asthma,
DB17386,Diagnostic agent,Ventilation of the lung,
DB11278,Symptomatic treatment of,Fever,
DB11278,Symptomatic treatment of,Generalised muscle aches,
DB11278,Symptomatic treatment of,Headache,
DB11278,Symptomatic treatment of,Irritative cough,
DB11278,Symptomatic treatment of,Nasal congestion,
