DrugBank ID,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB04890,+,0.9205,-,0.5488,-,0.5304,Substrate,0.6552,Inhibitor,0.8159,Inhibitor,0.7308,Inhibitor,0.5948,Non-substrate,0.7907,Non-substrate,0.7496,Non-substrate,0.5729,Non-inhibitor,0.8235,Non-inhibitor,0.8817,Non-inhibitor,0.8289,Non-inhibitor,0.8369,Non-inhibitor,0.8711,Low CYP Inhibitory Promiscuity,0.6461,Non AMES toxic,0.8246,Non-carcinogens,0.9647,Not ready biodegradable,0.9929,"2.7211 LD50, mol/kg",Not applicable,Weak inhibitor,0.6558,Inhibitor,0.6222
DB00502,+,1.0,+,0.9465,+,0.6023,Substrate,0.6673,Inhibitor,0.8563,Inhibitor,0.8137,Inhibitor,0.6058,Non-substrate,0.8355,Substrate,0.8919,Substrate,0.5796,Non-inhibitor,0.9045,Non-inhibitor,0.9207,Inhibitor,0.9197,Non-inhibitor,0.9248,Inhibitor,0.6899,Low CYP Inhibitory Promiscuity,0.7933,Non AMES toxic,0.9133,Non-carcinogens,0.8769,Not ready biodegradable,1.0,"3.4367 LD50, mol/kg",Not applicable,Weak inhibitor,0.5,Inhibitor,0.7474
DB11837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02726,-,0.8895,+,0.938,-,0.761,Non-substrate,0.7748,Non-inhibitor,0.9218,Non-inhibitor,0.9682,Non-inhibitor,0.9571,Non-substrate,0.8404,Non-substrate,0.8621,Non-substrate,0.6975,Non-inhibitor,0.9397,Non-inhibitor,0.9344,Non-inhibitor,0.9295,Non-inhibitor,0.9288,Non-inhibitor,0.9725,Low CYP Inhibitory Promiscuity,0.9918,Non AMES toxic,0.8514,Non-carcinogens,0.6677,Ready biodegradable,0.5716,"1.8094 LD50, mol/kg",Not applicable,Weak inhibitor,0.9836,Non-inhibitor,0.9378
DB00521,+,0.9157,-,0.5578,-,0.6897,Substrate,0.9025,Non-inhibitor,0.6539,Non-inhibitor,0.9197,Non-inhibitor,0.8058,Non-substrate,0.7911,Substrate,0.8919,Substrate,0.59,Non-inhibitor,0.9046,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.7633,Non AMES toxic,0.8024,Non-carcinogens,0.9099,Not ready biodegradable,1.0,"2.4801 LD50, mol/kg",Not applicable,Weak inhibitor,0.9902,Non-inhibitor,0.5237
DB00524,+,0.9972,+,0.5944,-,0.8957,Non-substrate,0.7578,Non-inhibitor,0.8113,Non-inhibitor,0.5921,Non-inhibitor,0.9223,Non-substrate,0.6466,Non-substrate,0.8279,Non-substrate,0.579,Non-inhibitor,0.9045,Non-inhibitor,0.907,Non-inhibitor,0.923,Non-inhibitor,0.9025,Non-inhibitor,0.831,Low CYP Inhibitory Promiscuity,0.5788,Non AMES toxic,0.8234,Non-carcinogens,0.7193,Not ready biodegradable,0.9961,"1.8955 LD50, mol/kg",Not applicable,Weak inhibitor,0.9922,Non-inhibitor,0.8735
DB00526,+,0.8638,+,0.7667,-,0.6453,Substrate,0.5056,Non-inhibitor,0.9332,Non-inhibitor,1.0,Non-inhibitor,0.9289,Non-substrate,0.8846,Non-substrate,0.8094,Non-substrate,0.6064,Non-inhibitor,0.8403,Non-inhibitor,0.8686,Non-inhibitor,0.8997,Non-inhibitor,0.8189,Non-inhibitor,0.8337,Low CYP Inhibitory Promiscuity,0.9872,Non AMES toxic,0.6034,Non-carcinogens,0.938,Not ready biodegradable,0.9796,"2.3765 LD50, mol/kg",Not applicable,Weak inhibitor,0.8879,Non-inhibitor,0.938
DB04938,+,0.9972,+,0.7095,+,0.6894,Non-substrate,0.587,Inhibitor,0.7541,Inhibitor,0.5935,Non-inhibitor,0.6587,Non-substrate,0.7712,Non-substrate,0.8459,Non-substrate,0.5552,Non-inhibitor,0.5168,Non-inhibitor,0.7604,Non-inhibitor,0.8754,Inhibitor,0.5512,Non-inhibitor,0.7578,High CYP Inhibitory Promiscuity,0.6072,Non AMES toxic,0.597,Non-carcinogens,0.767,Not ready biodegradable,0.5073,"2.3083 LD50, mol/kg",Not applicable,Weak inhibitor,0.5657,Non-inhibitor,0.6556
DB14512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00539,+,1.0,+,0.7488,+,0.8266,Substrate,0.7067,Inhibitor,0.79,Non-inhibitor,0.5917,Inhibitor,0.7552,Non-substrate,0.7502,Non-substrate,0.759,Substrate,0.7574,Inhibitor,0.8683,Non-inhibitor,0.882,Inhibitor,0.7217,Non-inhibitor,0.7443,Non-inhibitor,0.8824,High CYP Inhibitory Promiscuity,0.5128,Non AMES toxic,0.7545,Non-carcinogens,0.616,Not ready biodegradable,0.9601,"2.3467 LD50, mol/kg",Not applicable,Strong inhibitor,0.7708,Inhibitor,0.5086
DB04980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00564,+,0.9962,+,0.9958,+,0.6538,Non-substrate,0.6466,Non-inhibitor,0.8748,Non-inhibitor,0.8381,Non-inhibitor,0.8177,Non-substrate,0.7466,Substrate,0.884,Non-substrate,0.6204,Non-inhibitor,0.9045,Non-inhibitor,0.907,Non-inhibitor,0.9232,Non-inhibitor,0.9025,Non-inhibitor,0.8222,High CYP Inhibitory Promiscuity,0.7358,Non AMES toxic,0.5554,Non-carcinogens,0.8848,Not ready biodegradable,0.978,"2.1131 LD50, mol/kg",Not applicable,Weak inhibitor,0.9653,Non-inhibitor,0.8734
DB14542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00571,+,0.9944,-,0.9031,+,0.6942,Substrate,0.7079,Inhibitor,0.5588,Non-inhibitor,0.8383,Non-inhibitor,0.8177,Non-substrate,0.7898,Substrate,0.8918,Non-substrate,0.6463,Inhibitor,0.9106,Non-inhibitor,0.9071,Inhibitor,0.8932,Non-inhibitor,0.9026,Non-inhibitor,0.924,Low CYP Inhibitory Promiscuity,0.8487,Non AMES toxic,0.9392,Non-carcinogens,0.9097,Not ready biodegradable,0.9871,"2.5625 LD50, mol/kg",Not applicable,Weak inhibitor,0.9185,Inhibitor,0.7092
DB00574,+,1.0,+,0.9868,+,0.7004,Non-substrate,0.5138,Non-inhibitor,0.5934,Non-inhibitor,0.8383,Non-inhibitor,0.7404,Non-substrate,0.8506,Substrate,0.8919,Non-substrate,0.6781,Inhibitor,0.8859,Non-inhibitor,0.8616,Inhibitor,0.7253,Non-inhibitor,0.5205,Non-inhibitor,0.5219,Low CYP Inhibitory Promiscuity,0.6657,Non AMES toxic,0.8808,Non-carcinogens,0.6397,Not ready biodegradable,0.984,"3.1255 LD50, mol/kg",Not applicable,Weak inhibitor,0.9666,Inhibitor,0.7811
DB11921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00588,+,0.9964,+,0.9701,+,0.5417,Substrate,0.7099,Inhibitor,0.7192,Non-inhibitor,0.8636,Non-inhibitor,0.8689,Non-substrate,0.868,Non-substrate,0.9116,Substrate,0.7407,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Inhibitor,0.8988,Low CYP Inhibitory Promiscuity,0.8682,Non AMES toxic,0.798,Non-carcinogens,0.8901,Not ready biodegradable,1.0,"2.3753 LD50, mol/kg",Not applicable,Weak inhibitor,0.99,Non-inhibitor,0.6125
DB05039,+,0.9963,+,0.5,-,0.6288,Substrate,0.6953,Non-inhibitor,0.9284,Non-inhibitor,0.9178,Non-inhibitor,0.8838,Non-substrate,0.8148,Non-substrate,0.6907,Substrate,0.5896,Inhibitor,0.553,Non-inhibitor,0.56,Non-inhibitor,0.8547,Non-inhibitor,0.5581,Non-inhibitor,0.6546,Low CYP Inhibitory Promiscuity,0.5888,Non AMES toxic,0.7577,Non-carcinogens,0.8559,Not ready biodegradable,0.9856,"2.6531 LD50, mol/kg",Not applicable,Weak inhibitor,0.9657,Inhibitor,0.6406
DB00591,+,0.9865,+,0.9683,+,0.5,Substrate,0.7912,Non-inhibitor,0.5674,Non-inhibitor,0.8383,Non-inhibitor,0.8304,Non-substrate,0.8679,Non-substrate,0.8856,Substrate,0.6964,Non-inhibitor,0.9327,Non-inhibitor,0.9394,Non-inhibitor,0.9559,Non-inhibitor,0.9311,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8806,Non AMES toxic,0.7682,Non-carcinogens,0.9174,Not ready biodegradable,1.0,"2.7033 LD50, mol/kg",Not applicable,Weak inhibitor,0.9838,Non-inhibitor,0.671
DB00594,+,0.9408,+,0.7193,-,0.8957,Non-substrate,0.7207,Non-inhibitor,0.9282,Non-inhibitor,0.9677,Non-inhibitor,0.8122,Non-substrate,0.8253,Non-substrate,0.8778,Non-substrate,0.6687,Inhibitor,0.9107,Non-inhibitor,0.9577,Non-inhibitor,0.9231,Non-inhibitor,0.9295,Non-inhibitor,0.9733,Low CYP Inhibitory Promiscuity,0.9605,AMES toxic,0.9107,Non-carcinogens,0.9119,Not ready biodegradable,1.0,"2.5469 LD50, mol/kg",Not applicable,Weak inhibitor,0.9838,Non-inhibitor,0.8945
DB14589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00598,+,0.9943,-,0.8313,+,0.8867,Substrate,0.7073,Non-inhibitor,0.8908,Non-inhibitor,0.9269,Non-inhibitor,0.8457,Non-substrate,0.7448,Substrate,0.8918,Non-substrate,0.6202,Non-inhibitor,0.9046,Non-inhibitor,0.9071,Inhibitor,0.8932,Inhibitor,0.8995,Non-inhibitor,0.8256,Low CYP Inhibitory Promiscuity,0.8383,Non AMES toxic,0.9133,Non-carcinogens,0.9189,Not ready biodegradable,0.945,"2.1174 LD50, mol/kg",Not applicable,Weak inhibitor,0.9501,Non-inhibitor,0.7398
DB14624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00612,+,0.9445,-,0.9077,+,0.6149,Substrate,0.7785,Non-inhibitor,0.807,Non-inhibitor,0.7821,Non-inhibitor,0.8568,Non-substrate,0.8134,Substrate,0.8919,Non-substrate,0.6113,Non-inhibitor,0.9046,Non-inhibitor,0.9071,Non-inhibitor,0.923,Non-inhibitor,0.9485,Non-inhibitor,0.8373,Low CYP Inhibitory Promiscuity,0.9766,Non AMES toxic,0.9064,Non-carcinogens,0.9267,Not ready biodegradable,0.8962,"2.0089 LD50, mol/kg",Not applicable,Weak inhibitor,0.7877,Non-inhibitor,0.6611
DB14637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00620,+,0.9823,+,0.9528,+,0.7397,Substrate,0.8204,Non-inhibitor,0.8759,Non-inhibitor,0.9725,Non-inhibitor,0.8178,Non-substrate,0.8858,Non-substrate,0.9006,Substrate,0.7049,Non-inhibitor,0.9144,Non-inhibitor,0.8939,Non-inhibitor,0.9231,Non-inhibitor,0.911,Non-inhibitor,0.9007,Low CYP Inhibitory Promiscuity,0.942,Non AMES toxic,0.8858,Non-carcinogens,0.9521,Not ready biodegradable,0.9952,"2.3369 LD50, mol/kg",Not applicable,Weak inhibitor,0.9562,Inhibitor,0.6125
DB00621,+,0.9908,+,0.9537,+,0.6616,Substrate,0.6489,Non-inhibitor,0.5085,Non-inhibitor,0.7936,Non-inhibitor,0.7934,Non-substrate,0.7807,Non-substrate,0.8763,Substrate,0.7065,Non-inhibitor,0.832,Non-inhibitor,0.7894,Non-inhibitor,0.966,Non-inhibitor,0.8868,Non-inhibitor,0.8455,Low CYP Inhibitory Promiscuity,0.9822,Non AMES toxic,0.9499,Non-carcinogens,0.9501,Not ready biodegradable,0.9469,"1.5177 LD50, mol/kg",Not applicable,Weak inhibitor,0.9712,Non-inhibitor,0.7133
DB14643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00624,+,1.0,+,0.973,+,0.8984,Substrate,0.6498,Inhibitor,0.5489,Non-inhibitor,0.8923,Non-inhibitor,0.7324,Non-substrate,0.8167,Non-substrate,0.9116,Substrate,0.7739,Non-inhibitor,0.9005,Non-inhibitor,0.95,Non-inhibitor,0.9452,Non-inhibitor,0.6668,Non-inhibitor,0.8812,Low CYP Inhibitory Promiscuity,0.8683,Non AMES toxic,0.9382,Non-carcinogens,0.9483,Not ready biodegradable,0.9174,"1.6259 LD50, mol/kg",Not applicable,Weak inhibitor,0.8938,Non-inhibitor,0.7163
DB14644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00635,+,0.9918,+,0.9383,-,0.5096,Substrate,0.7861,Non-inhibitor,0.7847,Non-inhibitor,0.8383,Non-inhibitor,0.7463,Non-substrate,0.8496,Non-substrate,0.9138,Substrate,0.7407,Non-inhibitor,0.9406,Non-inhibitor,0.9072,Non-inhibitor,0.9418,Non-inhibitor,0.9253,Non-inhibitor,0.8902,Low CYP Inhibitory Promiscuity,0.9095,Non AMES toxic,0.9132,Non-carcinogens,0.9597,Not ready biodegradable,0.925,"1.8914 LD50, mol/kg",Not applicable,Weak inhibitor,0.95,Non-inhibitor,0.584
DB05107,+,1.0,+,0.9825,+,0.8006,Substrate,0.5669,Non-inhibitor,0.6611,Non-inhibitor,0.7795,Non-inhibitor,0.7902,Non-substrate,0.8133,Non-substrate,0.8886,Substrate,0.7282,Non-inhibitor,0.7876,Non-inhibitor,0.7726,Non-inhibitor,0.938,Non-inhibitor,0.9056,Non-inhibitor,0.7977,Low CYP Inhibitory Promiscuity,0.9292,Non AMES toxic,0.8898,Non-carcinogens,0.9022,Not ready biodegradable,0.9964,"2.2317 LD50, mol/kg",Not applicable,Weak inhibitor,0.9501,Inhibitor,0.5
DB14660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00644,+,0.9695,-,0.9781,-,0.8941,Substrate,0.8607,Non-inhibitor,0.8452,Non-inhibitor,0.7859,Non-inhibitor,0.6797,Non-substrate,0.769,Non-substrate,0.7647,Substrate,0.5996,Non-inhibitor,0.842,Non-inhibitor,0.8493,Non-inhibitor,0.9054,Non-inhibitor,0.8136,Non-inhibitor,0.7529,Low CYP Inhibitory Promiscuity,0.9411,Non AMES toxic,0.6992,Non-carcinogens,0.7961,Not ready biodegradable,0.9933,"2.6799 LD50, mol/kg",Not applicable,Weak inhibitor,0.9038,Non-inhibitor,0.5274
DB14664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00652,+,0.9931,+,0.9769,+,0.7902,Substrate,0.9014,Inhibitor,0.8563,Inhibitor,0.6975,Inhibitor,0.6982,Non-substrate,0.7947,Substrate,0.8919,Substrate,0.7819,Inhibitor,0.5886,Non-inhibitor,0.8321,Inhibitor,0.8147,Non-inhibitor,0.8585,Non-inhibitor,0.8155,Low CYP Inhibitory Promiscuity,0.778,Non AMES toxic,0.8231,Non-carcinogens,0.9322,Not ready biodegradable,0.9888,"2.4411 LD50, mol/kg",Not applicable,Strong inhibitor,0.6301,Inhibitor,0.5
DB14681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00666,+,0.9695,-,0.9781,-,0.8941,Substrate,0.8607,Non-inhibitor,0.8452,Non-inhibitor,0.7859,Non-inhibitor,0.6797,Non-substrate,0.769,Non-substrate,0.7647,Substrate,0.5996,Non-inhibitor,0.842,Non-inhibitor,0.8493,Non-inhibitor,0.9054,Non-inhibitor,0.8136,Non-inhibitor,0.7529,Low CYP Inhibitory Promiscuity,0.9411,Non AMES toxic,0.6992,Non-carcinogens,0.7961,Not ready biodegradable,0.9933,"2.6799 LD50, mol/kg",Not applicable,Weak inhibitor,0.9038,Non-inhibitor,0.5274
DB00668,+,0.9934,-,0.966,-,0.8958,Substrate,0.5953,Non-inhibitor,0.9036,Non-inhibitor,0.8465,Non-inhibitor,0.8903,Non-substrate,0.7897,Non-substrate,0.9116,Non-substrate,0.6928,Non-inhibitor,0.7862,Non-inhibitor,0.9563,Non-inhibitor,0.9638,Non-inhibitor,0.9451,Non-inhibitor,0.9121,Low CYP Inhibitory Promiscuity,0.9516,Non AMES toxic,0.9132,Non-carcinogens,0.9322,Ready biodegradable,0.6459,"2.3715 LD50, mol/kg",Not applicable,Weak inhibitor,0.7514,Non-inhibitor,0.7961
DB14703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00675,+,0.997,+,0.5838,+,0.8866,Substrate,0.7718,Inhibitor,0.8564,Non-inhibitor,0.6225,Inhibitor,0.6715,Non-substrate,0.8071,Substrate,0.8918,Substrate,0.7407,Inhibitor,0.8535,Non-inhibitor,0.9072,Inhibitor,0.8448,Non-inhibitor,0.9026,Non-inhibitor,0.8796,High CYP Inhibitory Promiscuity,0.5054,Non AMES toxic,0.9132,Non-carcinogens,0.6058,Not ready biodegradable,0.9048,"1.9882 LD50, mol/kg",Not applicable,Strong inhibitor,0.7402,Inhibitor,0.6898
DB00687,+,0.9927,+,0.9731,+,0.8415,Substrate,0.7911,Non-inhibitor,0.8385,Non-inhibitor,0.9351,Non-inhibitor,0.7774,Non-substrate,0.8799,Non-substrate,0.909,Substrate,0.7138,Non-inhibitor,0.9306,Non-inhibitor,0.9023,Non-inhibitor,0.9201,Non-inhibitor,0.9285,Non-inhibitor,0.8772,Low CYP Inhibitory Promiscuity,0.903,Non AMES toxic,0.8895,Non-carcinogens,0.9479,Not ready biodegradable,0.9964,"2.1686 LD50, mol/kg",Not applicable,Weak inhibitor,0.9591,Inhibitor,0.5213
DB00695,+,0.9155,-,0.8833,-,0.6436,Non-substrate,0.8775,Non-inhibitor,0.9272,Non-inhibitor,0.8382,Non-inhibitor,0.924,Non-substrate,0.6878,Non-substrate,0.8351,Non-substrate,0.6789,Non-inhibitor,0.9045,Non-inhibitor,0.907,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.9602,Low CYP Inhibitory Promiscuity,0.6885,Non AMES toxic,0.9132,Non-carcinogens,0.6469,Not ready biodegradable,0.9881,"2.1362 LD50, mol/kg",Not applicable,Weak inhibitor,0.9342,Non-inhibitor,0.8525
DB14752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02924,+,0.9818,+,0.9626,+,0.6665,Substrate,0.5882,Non-inhibitor,0.6437,Non-inhibitor,0.8979,Non-inhibitor,0.7839,Non-substrate,0.8586,Non-substrate,0.8429,Substrate,0.5669,Inhibitor,0.7089,Non-inhibitor,0.5512,Non-inhibitor,0.9316,Inhibitor,0.5571,Non-inhibitor,0.8418,Low CYP Inhibitory Promiscuity,0.8628,Non AMES toxic,0.9132,Non-carcinogens,0.8036,Not ready biodegradable,0.6793,"1.6719 LD50, mol/kg",Not applicable,Weak inhibitor,0.8685,Non-inhibitor,0.8547
DB00714,+,0.9816,+,0.9401,+,0.777,Substrate,0.8501,Non-inhibitor,0.8781,Non-inhibitor,0.964,Inhibitor,0.6477,Non-substrate,0.7577,Non-substrate,0.9116,Substrate,0.7039,Inhibitor,0.9107,Non-inhibitor,0.9146,Non-inhibitor,0.9084,Non-inhibitor,0.8718,Non-inhibitor,0.9156,Low CYP Inhibitory Promiscuity,0.9262,AMES toxic,0.6775,Non-carcinogens,0.9736,Not ready biodegradable,0.8928,"2.6446 LD50, mol/kg",Not applicable,Weak inhibitor,0.6544,Inhibitor,0.7734
DB12078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB12097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00741,+,0.9918,+,0.9383,-,0.5096,Substrate,0.7861,Non-inhibitor,0.7847,Non-inhibitor,0.8383,Non-inhibitor,0.7463,Non-substrate,0.8496,Non-substrate,0.9138,Substrate,0.7407,Non-inhibitor,0.9406,Non-inhibitor,0.9072,Non-inhibitor,0.9418,Non-inhibitor,0.9253,Non-inhibitor,0.8902,Low CYP Inhibitory Promiscuity,0.9095,Non AMES toxic,0.9132,Non-carcinogens,0.9597,Not ready biodegradable,0.925,"1.8914 LD50, mol/kg",Not applicable,Weak inhibitor,0.95,Non-inhibitor,0.584
DB00742,+,0.6525,-,0.5997,-,0.8958,Non-substrate,0.662,Non-inhibitor,0.9535,Non-inhibitor,0.9551,Non-inhibitor,0.9252,Non-substrate,0.8706,Non-substrate,0.878,Non-substrate,0.7431,Non-inhibitor,0.824,Non-inhibitor,0.9419,Non-inhibitor,0.9412,Non-inhibitor,0.9232,Non-inhibitor,0.9402,Low CYP Inhibitory Promiscuity,0.958,Non AMES toxic,0.9132,Non-carcinogens,0.7823,Ready biodegradable,0.8595,"1.1260 LD50, mol/kg",Not applicable,Weak inhibitor,0.9709,Non-inhibitor,0.9329
DB00745,+,1.0,+,0.9947,+,0.5066,Non-substrate,0.8912,Non-inhibitor,0.8842,Non-inhibitor,0.9962,Non-inhibitor,0.8153,Non-substrate,0.793,Non-substrate,0.8659,Non-substrate,0.5971,Non-inhibitor,0.6653,Non-inhibitor,0.6045,Non-inhibitor,0.9117,Non-inhibitor,0.6952,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.6395,Non AMES toxic,0.6562,Non-carcinogens,0.6665,Ready biodegradable,0.6304,"2.0926 LD50, mol/kg",Not applicable,Weak inhibitor,0.9799,Non-inhibitor,0.9279
DB14823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00764,+,0.995,+,0.9721,+,0.7845,Substrate,0.7849,Non-inhibitor,0.7635,Non-inhibitor,0.656,Non-inhibitor,0.7753,Non-substrate,0.852,Non-substrate,0.9135,Substrate,0.8028,Non-inhibitor,0.9383,Non-inhibitor,0.8572,Non-inhibitor,0.8429,Non-inhibitor,0.8966,Non-inhibitor,0.6761,Low CYP Inhibitory Promiscuity,0.8898,Non AMES toxic,0.8962,Non-carcinogens,0.9393,Not ready biodegradable,1.0,"1.9124 LD50, mol/kg",Not applicable,Weak inhibitor,0.9254,Non-inhibitor,0.6092
DB12134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02998,+,1.0,+,0.973,+,0.8984,Substrate,0.6498,Inhibitor,0.5489,Non-inhibitor,0.8923,Non-inhibitor,0.7324,Non-substrate,0.8167,Non-substrate,0.9116,Substrate,0.7739,Non-inhibitor,0.9005,Non-inhibitor,0.95,Non-inhibitor,0.9452,Non-inhibitor,0.6668,Non-inhibitor,0.8812,Low CYP Inhibitory Promiscuity,0.8683,Non AMES toxic,0.9382,Non-carcinogens,0.9483,Not ready biodegradable,0.9174,"1.6259 LD50, mol/kg",Not applicable,Weak inhibitor,0.8938,Non-inhibitor,0.7163
DB03026,+,0.7766,+,0.954,-,0.6567,Non-substrate,0.801,Non-inhibitor,0.8684,Non-inhibitor,0.9219,Non-inhibitor,0.9589,Non-substrate,0.833,Non-substrate,0.8238,Non-substrate,0.6152,Non-inhibitor,0.8656,Non-inhibitor,0.8963,Non-inhibitor,0.9126,Non-inhibitor,0.8566,Non-inhibitor,0.9546,Low CYP Inhibitory Promiscuity,0.9848,AMES toxic,0.5178,Non-carcinogens,0.7024,Not ready biodegradable,0.647,"2.2512 LD50, mol/kg",Not applicable,Weak inhibitor,0.9929,Non-inhibitor,0.9568
DB14923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00808,+,1.0,+,0.8868,-,0.5529,Non-substrate,0.6859,Non-inhibitor,0.9158,Non-inhibitor,0.9179,Non-inhibitor,0.8575,Non-substrate,0.5265,Non-substrate,0.7924,Non-substrate,0.519,Inhibitor,0.582,Non-inhibitor,0.5775,Non-inhibitor,0.8151,Non-inhibitor,0.6572,Non-inhibitor,0.8309,High CYP Inhibitory Promiscuity,0.7471,Non AMES toxic,0.6869,Non-carcinogens,0.7674,Not ready biodegradable,0.9862,"2.0823 LD50, mol/kg",Not applicable,Weak inhibitor,0.986,Non-inhibitor,0.8804
